Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.0	-6.913	-6.913	0.0
02.01.1971	00.00.00	0.0	-7.413	-7.413	0.0
03.01.1971	00.00.00	0.0	-6.513	-6.513	0.0
04.01.1971	00.00.00	0.238	-0.813	-0.813	0.0
05.01.1971	00.00.00	0.119	1.987	1.987	0.0
06.01.1971	00.00.00	0.0	-5.113	-5.113	0.0
07.01.1971	00.00.00	6.783	-5.513	-5.513	0.0
08.01.1971	00.00.00	38.318	3.087	3.087	0.0
09.01.1971	00.00.00	4.998	6.487	6.487	0.0
10.01.1971	00.00.00	3.332	6.687	6.687	0.0
11.01.1971	00.00.00	0.0	5.387	5.387	0.0
12.01.1971	00.00.00	0.0	3.587	3.587	0.0
13.01.1971	00.00.00	0.0	2.287	2.287	0.0
14.01.1971	00.00.00	0.0	0.287	0.287	0.0
15.01.1971	00.00.00	0.0	-0.813	-0.813	0.0
16.01.1971	00.00.00	0.0	0.987	0.987	0.0
17.01.1971	00.00.00	0.357	1.387	1.387	0.0
18.01.1971	00.00.00	2.737	3.487	3.487	0.0
19.01.1971	00.00.00	2.38	4.387	4.387	0.0
20.01.1971	00.00.00	24.871	3.787	3.787	0.0
21.01.1971	00.00.00	13.447	3.687	3.687	0.0
22.01.1971	00.00.00	3.332	2.587	2.587	0.0
23.01.1971	00.00.00	0.952	2.587	2.587	0.0
24.01.1971	00.00.00	16.422	2.887	2.887	0.0
25.01.1971	00.00.00	12.733	4.287	4.287	0.0
26.01.1971	00.00.00	13.923	4.987	4.987	0.0
27.01.1971	00.00.00	0.595	2.387	2.387	0.0
28.01.1971	00.00.00	0.0	1.487	1.487	0.0
29.01.1971	00.00.00	0.0	-0.013	-0.013	0.0
30.01.1971	00.00.00	0.0	-2.513	-2.513	0.0
31.01.1971	00.00.00	20.706	-3.313	-3.313	0.0
01.02.1971	00.00.00	2.3617	-3.574	-3.574	0.0
02.02.1971	00.00.00	0.0	-5.174	-5.174	0.0
03.02.1971	00.00.00	3.6047	0.726	0.726	0.0
04.02.1971	00.00.00	0.0	5.726	5.726	0.0
05.02.1971	00.00.00	0.0	6.926	6.926	0.0
06.02.1971	00.00.00	0.0	6.726	6.726	0.0
07.02.1971	00.00.00	0.0	6.826	6.826	0.0
08.02.1971	00.00.00	0.0	6.926	6.926	0.0
09.02.1971	00.00.00	0.0	7.426	7.426	0.0
10.02.1971	00.00.00	0.0	4.826	4.826	0.0
11.02.1971	00.00.00	0.1243	3.726	3.726	0.0
12.02.1971	00.00.00	4.972	5.026	5.026	0.0
13.02.1971	00.00.00	33.9339	6.426	6.426	0.0
14.02.1971	00.00.00	26.4759	5.226	5.226	0.0
15.02.1971	00.00.00	24.1142	2.926	2.926	0.0
16.02.1971	00.00.00	66.7491	3.926	3.926	0.0
17.02.1971	00.00.00	52.4546	3.626	3.626	0.0
18.02.1971	00.00.00	21.8768	3.026	3.026	0.0
19.02.1971	00.00.00	4.8477	3.126	3.126	0.0
20.02.1971	00.00.00	0.0	0.026	0.026	0.0
21.02.1971	00.00.00	12.1814	-0.474	-0.474	0.0
22.02.1971	00.00.00	3.6047	2.626	2.626	0.0
23.02.1971	00.00.00	0.0	1.226	1.226	0.0
24.02.1971	00.00.00	0.0	2.226	2.226	0.0
25.02.1971	00.00.00	0.0	5.826	5.826	0.0
26.02.1971	00.00.00	0.0	0.026	0.026	0.0
27.02.1971	00.00.00	0.0	-4.374	-4.374	0.0
28.02.1971	00.00.00	0.0	-5.374	-5.374	0.0
