Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.0	-7.14	-7.14	0.0
02.01.1971	00.00.00	0.0	-7.05	-7.05	0.0
03.01.1971	00.00.00	0.0	-10.197619047619	-10.197619047619	0.0
04.01.1971	00.00.00	0.0	-10.9626984126984	-10.9626984126984	0.0
05.01.1971	00.00.00	15.0	-4.05	-4.05	0.0
06.01.1971	00.00.00	34.155303030303	-1.25	-1.25	0.0
07.01.1971	00.00.00	0.3	-3.225	-3.225	0.0
08.01.1971	00.00.00	1.8	-3.575	-3.575	0.0
09.01.1971	00.00.00	2.2	-2.375	-2.375	0.0
10.01.1971	00.00.00	7.42	-0.45	-0.45	0.0
11.01.1971	00.00.00	7.78	2.3	2.3	0.0
12.01.1971	00.00.00	4.93333333333333	2.75	2.75	0.0
13.01.1971	00.00.00	0.2	0.15	0.15	0.0
14.01.1971	00.00.00	12.2947368421053	0.9	0.9	0.0
15.01.1971	00.00.00	0.0	-1.05	-1.05	0.0
16.01.1971	00.00.00	17.4	2.35	2.35	0.0
17.01.1971	00.00.00	13.2583333333333	3.55	3.55	0.0
18.01.1971	00.00.00	10.0	3.85	3.85	0.0
19.01.1971	00.00.00	10.1	3.85	3.85	0.0
20.01.1971	00.00.00	8.65714285714286	2.35	2.35	0.0
21.01.1971	00.00.00	8.82857142857143	3.15	3.15	0.0
22.01.1971	00.00.00	16.9	1.25	1.25	0.0
23.01.1971	00.00.00	5.275	0.35	0.35	0.0
24.01.1971	00.00.00	0.95	4.9	4.9	0.0
25.01.1971	00.00.00	0.0	3.85	3.85	0.0
26.01.1971	00.00.00	0.2	3.75	3.75	0.0
27.01.1971	00.00.00	0.2	4.35	4.35	0.0
28.01.1971	00.00.00	0.0	2.35	2.35	0.0
29.01.1971	00.00.00	0.0	-0.45	-0.45	0.0
30.01.1971	00.00.00	0.0	3.45	3.45	0.0
31.01.1971	00.00.00	0.0	3.75	3.75	0.0
01.02.1971	00.00.00	0.0	-1.55	-1.55	0.0
02.02.1971	00.00.00	0.0	0.402173913043482	0.402173913043482	0.0
03.02.1971	00.00.00	0.0	3.25	3.25	0.0
04.02.1971	00.00.00	0.0	3.25	3.25	0.0
05.02.1971	00.00.00	0.0	2.25	2.25	0.0
06.02.1971	00.00.00	0.1	4.01666666666667	4.01666666666667	0.0
07.02.1971	00.00.00	0.0	3.35	3.35	0.0
08.02.1971	00.00.00	0.0	4.25	4.25	0.0
09.02.1971	00.00.00	0.1	4.41666666666667	4.41666666666667	0.0
10.02.1971	00.00.00	0.0	5.38333333333333	5.38333333333333	0.0
11.02.1971	00.00.00	0.0	2.95	2.95	0.0
12.02.1971	00.00.00	0.25	2.55	2.55	0.0
13.02.1971	00.00.00	0.1	3.15	3.15	0.0
14.02.1971	00.00.00	0.0	5.15	5.15	0.0
15.02.1971	00.00.00	0.0	3.05	3.05	0.0
16.02.1971	00.00.00	0.0	2.55	2.55	0.0
17.02.1971	00.00.00	0.0	2.95	2.95	0.0
18.02.1971	00.00.00	0.0	-0.65	-0.65	0.0
19.02.1971	00.00.00	0.0	-1.05	-1.05	0.0
20.02.1971	00.00.00	0.0	2.35	2.35	0.0
21.02.1971	00.00.00	0.0	2.85	2.85	0.0
22.02.1971	00.00.00	6.88333333333333	0.216666666666667	0.216666666666667	0.0
23.02.1971	00.00.00	7.13333333333333	-2.675	-2.675	0.0
24.02.1971	00.00.00	0.7	-6.50555555555556	-6.50555555555556	0.0
25.02.1971	00.00.00	0.0	-9.43253968253968	-9.43253968253968	0.0
26.02.1971	00.00.00	6.0	-9.05	-9.05	0.0
27.02.1971	00.00.00	5.06666666666667	-8.13333333333333	-8.13333333333333	0.0
28.02.1971	00.00.00	2.8	-5.18333333333333	-5.18333333333333	0.0
01.03.1971	00.00.00	10.2	-2.375	-2.375	0.0
02.03.1971	00.00.00	0.0	-1.55	-1.55	0.0
03.03.1971	00.00.00	0.0	-2.15	-2.15	0.0
04.03.1971	00.00.00	0.0	-2.3	-2.3	0.0
05.03.1971	00.00.00	0.0	-3.3	-3.3	0.0
06.03.1971	00.00.00	0.0	-2.15	-2.15	0.0
07.03.1971	00.00.00	0.0	-0.35	-0.35	0.0
08.03.1971	00.00.00	0.0	2.15	2.15	0.0
09.03.1971	00.00.00	0.0	3.15	3.15	0.0
10.03.1971	00.00.00	0.0	0.216666666666667	0.216666666666667	0.0
11.03.1971	00.00.00	0.0	0.216666666666667	0.216666666666667	0.0
12.03.1971	00.00.00	0.0	0.15	0.15	0.0
13.03.1971	00.00.00	0.0	-1.55	-1.55	0.0
14.03.1971	00.00.00	0.0	-1.75	-1.75	0.0
15.03.1971	00.00.00	6.2	-0.35	-0.35	0.0
16.03.1971	00.00.00	0.0	1.85	1.85	0.0
17.03.1971	00.00.00	0.0	2.05	2.05	0.0
18.03.1971	00.00.00	0.9	-0.116666666666667	-0.116666666666667	0.0
19.03.1971	00.00.00	0.0	-0.35	-0.35	0.0
20.03.1971	00.00.00	0.0	-0.95	-0.95	0.0
21.03.1971	00.00.00	0.25	-0.116666666666667	-0.116666666666667	0.0
22.03.1971	00.00.00	0.5	-1.55	-1.55	0.0
23.03.1971	00.00.00	0.6	-1.15	-1.15	0.0
24.03.1971	00.00.00	0.0	-1.15	-1.15	0.0
25.03.1971	00.00.00	0.0	1.85	1.85	0.0
26.03.1971	00.00.00	0.0	1.6	1.6	0.0
27.03.1971	00.00.00	0.0	0.465384615384641	0.465384615384641	0.0
28.03.1971	00.00.00	0.0	-2.75	-2.75	0.0
29.03.1971	00.00.00	0.0	-6.0	-6.0	0.0
30.03.1971	00.00.00	0.0	-0.75	-0.75	0.0
31.03.1971	00.00.00	0.0	2.25	2.25	0.0
01.04.1971	00.00.00	0.0	2.65	2.65	0.0
02.04.1971	00.00.00	0.0	1.25	1.25	0.0
03.04.1971	00.00.00	0.0	0.65	0.65	0.0
04.04.1971	00.00.00	1.25	0.283333333333333	0.283333333333333	0.0
05.04.1971	00.00.00	0.0	0.35	0.35	0.0
06.04.1971	00.00.00	1.0	-1.05	-1.05	0.0
07.04.1971	00.00.00	0.0	-1.05	-1.05	0.0
08.04.1971	00.00.00	0.0	-1.15	-1.15	0.0
09.04.1971	00.00.00	0.7	-0.35	-0.35	0.0
10.04.1971	00.00.00	0.0	-2.225	-2.225	0.0
11.04.1971	00.00.00	0.0	-0.95	-0.95	0.0
12.04.1971	00.00.00	0.0	2.75	2.75	0.0
13.04.1971	00.00.00	0.0	4.08333333333333	4.08333333333333	0.0
14.04.1971	00.00.00	0.9	2.55	2.55	0.0
15.04.1971	00.00.00	0.0	1.15	1.15	0.0
16.04.1971	00.00.00	0.6	0.95	0.95	0.0
17.04.1971	00.00.00	0.2	0.75	0.75	0.0
18.04.1971	00.00.00	0.7	0.95	0.95	0.0
19.04.1971	00.00.00	0.0	2.75	2.75	0.0
20.04.1971	00.00.00	0.1	3.45	3.45	0.0
21.04.1971	00.00.00	0.0	4.41666666666667	4.41666666666667	0.0
22.04.1971	00.00.00	1.4	4.15	4.15	0.0
23.04.1971	00.00.00	6.2	3.65	3.65	0.0
24.04.1971	00.00.00	0.116666666666606	3.65	3.65	0.0
25.04.1971	00.00.00	0.0	4.65	4.65	0.0
26.04.1971	00.00.00	0.3	5.55	5.55	0.0
27.04.1971	00.00.00	3.8	5.85	5.85	0.0
28.04.1971	00.00.00	15.8071428571429	5.71666666666667	5.71666666666667	0.0
29.04.1971	00.00.00	9.62222222222222	6.15	6.15	0.0
30.04.1971	00.00.00	29.6264367816092	3.05	3.05	0.0
01.05.1971	00.00.00	3.6	4.35	4.35	0.0
02.05.1971	00.00.00	0.0	6.55	6.55	0.0
03.05.1971	00.00.00	0.0	8.05	8.05	0.0
04.05.1971	00.00.00	0.0	9.65	9.65	0.0
05.05.1971	00.00.00	0.0	9.75	9.75	0.0
06.05.1971	00.00.00	0.0	10.45	10.45	0.0
07.05.1971	00.00.00	0.0	11.75	11.75	0.0
08.05.1971	00.00.00	0.0	12.95	12.95	0.0
09.05.1971	00.00.00	11.6195876288661	12.85	12.85	0.0
10.05.1971	00.00.00	0.0	11.45	11.45	0.0
11.05.1971	00.00.00	0.0	10.75	10.75	0.0
12.05.1971	00.00.00	0.0	7.35	7.35	0.0
13.05.1971	00.00.00	0.0	7.61666666666667	7.61666666666667	0.0
14.05.1971	00.00.00	0.0	8.25	8.25	0.0
15.05.1971	00.00.00	0.0	9.15	9.15	0.0
16.05.1971	00.00.00	0.0	9.75	9.75	0.0
17.05.1971	00.00.00	0.0	9.55	9.55	0.0
18.05.1971	00.00.00	0.0	10.45	10.45	0.0
19.05.1971	00.00.00	9.15555555555556	12.65	12.65	0.0
20.05.1971	00.00.00	25.8303370786518	9.55	9.55	0.0
21.05.1971	00.00.00	2.9	9.75	9.75	0.0
22.05.1971	00.00.00	10.0	9.15	9.15	0.0
23.05.1971	00.00.00	0.0	8.15	8.15	0.0
24.05.1971	00.00.00	0.2	8.95	8.95	0.0
25.05.1971	00.00.00	0.0	10.9583333333334	10.9583333333334	0.0
26.05.1971	00.00.00	0.1	8.95	8.95	0.0
27.05.1971	00.00.00	1.5	7.35	7.35	0.0
28.05.1971	00.00.00	0.0	6.28333333333333	6.28333333333333	0.0
29.05.1971	00.00.00	0.0	5.55	5.55	0.0
30.05.1971	00.00.00	0.0	6.28333333333333	6.28333333333333	0.0
31.05.1971	00.00.00	0.0	7.15	7.15	0.0
01.06.1971	00.00.00	3.5	6.65	6.65	0.0
02.06.1971	00.00.00	0.0	9.05	9.05	0.0
03.06.1971	00.00.00	9.07777777777778	7.68333333333333	7.68333333333333	0.0
04.06.1971	00.00.00	15.1785714285714	6.75	6.75	0.0
05.06.1971	00.00.00	8.23333333333333	8.85	8.85	0.0
06.06.1971	00.00.00	1.9	8.95	8.95	0.0
07.06.1971	00.00.00	2.3	9.85	9.85	0.0
08.06.1971	00.00.00	2.9	10.25	10.25	0.0
09.06.1971	00.00.00	0.0	8.75	8.75	0.0
10.06.1971	00.00.00	15.5714285714286	7.15	7.15	0.0
11.06.1971	00.00.00	0.6	10.75	10.75	0.0
12.06.1971	00.00.00	41.7083333333332	11.65	11.65	0.0
13.06.1971	00.00.00	5.9	10.35	10.35	0.0
14.06.1971	00.00.00	14.7	10.05	10.05	0.0
15.06.1971	00.00.00	0.95	11.65	11.65	0.0
16.06.1971	00.00.00	20.6176470588235	11.55	11.55	0.0
17.06.1971	00.00.00	0.7	12.95	12.95	0.0
18.06.1971	00.00.00	0.0	14.25	14.25	0.0
19.06.1971	00.00.00	0.0	16.745	16.745	0.0
20.06.1971	00.00.00	14.0	15.1833333333333	15.1833333333333	0.0
21.06.1971	00.00.00	0.0	13.85	13.85	0.0
22.06.1971	00.00.00	8.82857142857143	12.85	12.85	0.0
23.06.1971	00.00.00	5.9	11.25	11.25	0.0
24.06.1971	00.00.00	0.0	12.35	12.35	0.0
25.06.1971	00.00.00	0.95	15.85	15.85	0.0
26.06.1971	00.00.00	5.58	12.95	12.95	0.0
27.06.1971	00.00.00	0.2	15.85	15.85	0.0
28.06.1971	00.00.00	0.0	15.75	15.75	0.0
29.06.1971	00.00.00	11.5329896907217	12.05	12.05	0.0
30.06.1971	00.00.00	3.7	12.5	12.5	0.0
01.07.1971	00.00.00	4.0700000000001	16.85	16.85	0.0
02.07.1971	00.00.00	2.3	17.4625	17.4625	0.0
03.07.1971	00.00.00	0.0	13.85	13.85	0.0
04.07.1971	00.00.00	0.0	15.05	15.05	0.0
05.07.1971	00.00.00	9.7	15.85	15.85	0.0
06.07.1971	00.00.00	18.5066666666667	15.945	15.945	0.0
07.07.1971	00.00.00	0.0	13.85	13.85	0.0
08.07.1971	00.00.00	0.0	13.9833333333333	13.9833333333333	0.0
09.07.1971	00.00.00	0.0	16.64	16.64	0.0
