Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.0	-6.694	-6.694	0.0
02.01.1971	00.00.00	0.0	-7.194	-7.194	0.0
03.01.1971	00.00.00	0.0	-6.294	-6.294	0.0
04.01.1971	00.00.00	0.2104	-0.594	-0.594	0.0
05.01.1971	00.00.00	0.1052	2.206	2.206	0.0
06.01.1971	00.00.00	0.0	-4.894	-4.894	0.0
07.01.1971	00.00.00	5.9964	-5.294	-5.294	0.0
08.01.1971	00.00.00	33.8744	3.306	3.306	0.0
09.01.1971	00.00.00	4.4184	6.706	6.706	0.0
10.01.1971	00.00.00	2.9456	6.906	6.906	0.0
11.01.1971	00.00.00	0.0	5.606	5.606	0.0
12.01.1971	00.00.00	0.0	3.806	3.806	0.0
13.01.1971	00.00.00	0.0	2.506	2.506	0.0
14.01.1971	00.00.00	0.0	0.506	0.506	0.0
15.01.1971	00.00.00	0.0	-0.594	-0.594	0.0
16.01.1971	00.00.00	0.0	1.206	1.206	0.0
17.01.1971	00.00.00	0.3156	1.606	1.606	0.0
18.01.1971	00.00.00	2.4196	3.706	3.706	0.0
19.01.1971	00.00.00	2.104	4.606	4.606	0.0
20.01.1971	00.00.00	21.9868	4.006	4.006	0.0
21.01.1971	00.00.00	11.8876	3.906	3.906	0.0
22.01.1971	00.00.00	2.9456	2.806	2.806	0.0
23.01.1971	00.00.00	0.8416	2.806	2.806	0.0
24.01.1971	00.00.00	14.5176	3.106	3.106	0.0
25.01.1971	00.00.00	11.2564	4.506	4.506	0.0
26.01.1971	00.00.00	12.3084	5.206	5.206	0.0
27.01.1971	00.00.00	0.526	2.606	2.606	0.0
28.01.1971	00.00.00	0.0	1.706	1.706	0.0
29.01.1971	00.00.00	0.0	0.206	0.206	0.0
30.01.1971	00.00.00	0.0	-2.294	-2.294	0.0
31.01.1971	00.00.00	18.3048	-3.094	-3.094	0.0
01.02.1971	00.00.00	2.1014	-4.067	-4.067	0.0
02.02.1971	00.00.00	0.0	-5.667	-5.667	0.0
03.02.1971	00.00.00	3.2074	0.233	0.233	0.0
04.02.1971	00.00.00	0.0	5.233	5.233	0.0
05.02.1971	00.00.00	0.0	6.433	6.433	0.0
06.02.1971	00.00.00	0.0	6.233	6.233	0.0
07.02.1971	00.00.00	0.0	6.333	6.333	0.0
08.02.1971	00.00.00	0.0	6.433	6.433	0.0
09.02.1971	00.00.00	0.0	6.933	6.933	0.0
10.02.1971	00.00.00	0.0	4.333	4.333	0.0
11.02.1971	00.00.00	0.1106	3.233	3.233	0.0
12.02.1971	00.00.00	4.424	4.533	4.533	0.0
13.02.1971	00.00.00	30.1938	5.933	5.933	0.0
14.02.1971	00.00.00	23.5578	4.733	4.733	0.0
15.02.1971	00.00.00	21.4564	2.433	2.433	0.0
16.02.1971	00.00.00	59.3922	3.433	3.433	0.0
17.02.1971	00.00.00	46.6732	3.133	3.133	0.0
18.02.1971	00.00.00	19.4656	2.533	2.533	0.0
19.02.1971	00.00.00	4.3134	2.633	2.633	0.0
20.02.1971	00.00.00	0.0	-0.467	-0.467	0.0
21.02.1971	00.00.00	10.8388	-0.967	-0.967	0.0
22.02.1971	00.00.00	3.2074	2.133	2.133	0.0
23.02.1971	00.00.00	0.0	0.733	0.733	0.0
24.02.1971	00.00.00	0.0	1.733	1.733	0.0
25.02.1971	00.00.00	0.0	5.333	5.333	0.0
26.02.1971	00.00.00	0.0	-0.467	-0.467	0.0
27.02.1971	00.00.00	0.0	-4.867	-4.867	0.0
28.02.1971	00.00.00	0.0	-5.867	-5.867	0.0
