Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.0	-7.602	-7.602	0.0
02.01.1971	00.00.00	0.0	-8.102	-8.102	0.0
03.01.1971	00.00.00	0.0	-7.202	-7.202	0.0
04.01.1971	00.00.00	0.1958	-1.502	-1.502	0.0
05.01.1971	00.00.00	0.0979	1.298	1.298	0.0
06.01.1971	00.00.00	0.0	-5.802	-5.802	0.0
07.01.1971	00.00.00	5.5803	-6.202	-6.202	0.0
08.01.1971	00.00.00	31.5238	2.398	2.398	0.0
09.01.1971	00.00.00	4.1118	5.798	5.798	0.0
10.01.1971	00.00.00	2.7412	5.998	5.998	0.0
11.01.1971	00.00.00	0.0	4.698	4.698	0.0
12.01.1971	00.00.00	0.0	2.898	2.898	0.0
13.01.1971	00.00.00	0.0	1.598	1.598	0.0
14.01.1971	00.00.00	0.0	-0.402	-0.402	0.0
15.01.1971	00.00.00	0.0	-1.502	-1.502	0.0
16.01.1971	00.00.00	0.0	0.298	0.298	0.0
17.01.1971	00.00.00	0.2937	0.698	0.698	0.0
18.01.1971	00.00.00	2.2517	2.798	2.798	0.0
19.01.1971	00.00.00	1.958	3.698	3.698	0.0
20.01.1971	00.00.00	20.4611	3.098	3.098	0.0
21.01.1971	00.00.00	11.0627	2.998	2.998	0.0
22.01.1971	00.00.00	2.7412	1.898	1.898	0.0
23.01.1971	00.00.00	0.7832	1.898	1.898	0.0
24.01.1971	00.00.00	13.5102	2.198	2.198	0.0
25.01.1971	00.00.00	10.4753	3.598	3.598	0.0
26.01.1971	00.00.00	11.4543	4.298	4.298	0.0
27.01.1971	00.00.00	0.4895	1.698	1.698	0.0
28.01.1971	00.00.00	0.0	0.798	0.798	0.0
29.01.1971	00.00.00	0.0	-0.702	-0.702	0.0
30.01.1971	00.00.00	0.0	-3.202	-3.202	0.0
31.01.1971	00.00.00	17.0346	-4.002	-4.002	0.0
01.02.1971	00.00.00	1.9513	-5.573	-5.573	0.0
02.02.1971	00.00.00	0.0	-7.173	-7.173	0.0
03.02.1971	00.00.00	2.9783	-1.273	-1.273	0.0
04.02.1971	00.00.00	0.0	3.727	3.727	0.0
05.02.1971	00.00.00	0.0	4.927	4.927	0.0
06.02.1971	00.00.00	0.0	4.727	4.727	0.0
07.02.1971	00.00.00	0.0	4.827	4.827	0.0
08.02.1971	00.00.00	0.0	4.927	4.927	0.0
09.02.1971	00.00.00	0.0	5.427	5.427	0.0
10.02.1971	00.00.00	0.0	2.827	2.827	0.0
11.02.1971	00.00.00	0.1027	1.727	1.727	0.0
12.02.1971	00.00.00	4.108	3.027	3.027	0.0
13.02.1971	00.00.00	28.0371	4.427	4.427	0.0
14.02.1971	00.00.00	21.8751	3.227	3.227	0.0
15.02.1971	00.00.00	19.9238	0.927	0.927	0.0
16.02.1971	00.00.00	55.1499	1.927	1.927	0.0
17.02.1971	00.00.00	43.3394	1.627	1.627	0.0
18.02.1971	00.00.00	18.0752	1.027	1.027	0.0
19.02.1971	00.00.00	4.0053	1.127	1.127	0.0
20.02.1971	00.00.00	0.0	-1.973	-1.973	0.0
21.02.1971	00.00.00	10.0646	-2.473	-2.473	0.0
22.02.1971	00.00.00	2.9783	0.627	0.627	0.0
23.02.1971	00.00.00	0.0	-0.773	-0.773	0.0
24.02.1971	00.00.00	0.0	0.227	0.227	0.0
25.02.1971	00.00.00	0.0	3.827	3.827	0.0
26.02.1971	00.00.00	0.0	-1.973	-1.973	0.0
27.02.1971	00.00.00	0.0	-6.373	-6.373	0.0
28.02.1971	00.00.00	0.0	-7.373	-7.373	0.0
01.03.1971	00.00.00	0.0	-5.899	-5.899	0.0
02.03.1971	00.00.00	0.0	-7.999	-7.999	0.0
03.03.1971	00.00.00	0.3136	-7.899	-7.899	0.0
04.03.1971	00.00.00	0.0	-9.999	-9.999	0.0
05.03.1971	00.00.00	0.0	-11.399	-11.399	0.0
06.03.1971	00.00.00	0.0	-8.299	-8.299	0.0
07.03.1971	00.00.00	0.0	-3.199	-3.199	0.0
