Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.0	-8.266	-8.266	0.0
02.01.1971	00.00.00	0.0	-8.766	-8.766	0.0
03.01.1971	00.00.00	0.0	-7.866	-7.866	0.0
04.01.1971	00.00.00	0.2192	-2.166	-2.166	0.0
05.01.1971	00.00.00	0.1096	0.634	0.634	0.0
06.01.1971	00.00.00	0.0	-6.466	-6.466	0.0
07.01.1971	00.00.00	6.2472	-6.866	-6.866	0.0
08.01.1971	00.00.00	35.2912	1.734	1.734	0.0
09.01.1971	00.00.00	4.6032	5.134	5.134	0.0
10.01.1971	00.00.00	3.0688	5.334	5.334	0.0
11.01.1971	00.00.00	0.0	4.034	4.034	0.0
12.01.1971	00.00.00	0.0	2.234	2.234	0.0
13.01.1971	00.00.00	0.0	0.934	0.934	0.0
14.01.1971	00.00.00	0.0	-1.066	-1.066	0.0
15.01.1971	00.00.00	0.0	-2.166	-2.166	0.0
16.01.1971	00.00.00	0.0	-0.366	-0.366	0.0
17.01.1971	00.00.00	0.3288	0.034	0.034	0.0
18.01.1971	00.00.00	2.5208	2.134	2.134	0.0
19.01.1971	00.00.00	2.192	3.034	3.034	0.0
20.01.1971	00.00.00	22.9064	2.434	2.434	0.0
21.01.1971	00.00.00	12.3848	2.334	2.334	0.0
22.01.1971	00.00.00	3.0688	1.234	1.234	0.0
23.01.1971	00.00.00	0.8768	1.234	1.234	0.0
24.01.1971	00.00.00	15.1248	1.534	1.534	0.0
25.01.1971	00.00.00	11.7272	2.934	2.934	0.0
26.01.1971	00.00.00	12.8232	3.634	3.634	0.0
27.01.1971	00.00.00	0.548	1.034	1.034	0.0
28.01.1971	00.00.00	0.0	0.134	0.134	0.0
29.01.1971	00.00.00	0.0	-1.366	-1.366	0.0
30.01.1971	00.00.00	0.0	-3.866	-3.866	0.0
31.01.1971	00.00.00	19.0704	-4.666	-4.666	0.0
01.02.1971	00.00.00	1.9912	-4.08	-4.08	0.0
02.02.1971	00.00.00	0.0	-5.68	-5.68	0.0
03.02.1971	00.00.00	3.0392	0.22	0.22	0.0
04.02.1971	00.00.00	0.0	5.22	5.22	0.0
05.02.1971	00.00.00	0.0	6.42	6.42	0.0
06.02.1971	00.00.00	0.0	6.22	6.22	0.0
07.02.1971	00.00.00	0.0	6.32	6.32	0.0
08.02.1971	00.00.00	0.0	6.42	6.42	0.0
09.02.1971	00.00.00	0.0	6.92	6.92	0.0
10.02.1971	00.00.00	0.0	4.32	4.32	0.0
11.02.1971	00.00.00	0.1048	3.22	3.22	0.0
12.02.1971	00.00.00	4.192	4.52	4.52	0.0
13.02.1971	00.00.00	28.6104	5.92	5.92	0.0
14.02.1971	00.00.00	22.3224	4.72	4.72	0.0
15.02.1971	00.00.00	20.3312	2.42	2.42	0.0
16.02.1971	00.00.00	56.2776	3.42	3.42	0.0
17.02.1971	00.00.00	44.2256	3.12	3.12	0.0
18.02.1971	00.00.00	18.4448	2.52	2.52	0.0
19.02.1971	00.00.00	4.0872	2.62	2.62	0.0
20.02.1971	00.00.00	0.0	-0.48	-0.48	0.0
21.02.1971	00.00.00	10.2704	-0.98	-0.98	0.0
22.02.1971	00.00.00	3.0392	2.12	2.12	0.0
23.02.1971	00.00.00	0.0	0.72	0.72	0.0
24.02.1971	00.00.00	0.0	1.72	1.72	0.0
25.02.1971	00.00.00	0.0	5.32	5.32	0.0
26.02.1971	00.00.00	0.0	-0.48	-0.48	0.0
27.02.1971	00.00.00	0.0	-4.88	-4.88	0.0
28.02.1971	00.00.00	0.0	-5.88	-5.88	0.0
01.03.1971	00.00.00	0.0	-5.472	-5.472	0.0
02.03.1971	00.00.00	0.0	-7.572	-7.572	0.0
03.03.1971	00.00.00	0.4136	-7.472	-7.472	0.0
04.03.1971	00.00.00	0.0	-9.572	-9.572	0.0
