Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.0	-6.806	-6.806	0.0
02.01.1971	00.00.00	0.0	-7.306	-7.306	0.0
03.01.1971	00.00.00	0.0	-6.406	-6.406	0.0
04.01.1971	00.00.00	0.255	-0.706	-0.706	0.0
05.01.1971	00.00.00	0.1275	2.094	2.094	0.0
06.01.1971	00.00.00	0.0	-5.006	-5.006	0.0
07.01.1971	00.00.00	7.2675	-5.406	-5.406	0.0
08.01.1971	00.00.00	41.055	3.194	3.194	0.0
09.01.1971	00.00.00	5.355	6.594	6.594	0.0
10.01.1971	00.00.00	3.57	6.794	6.794	0.0
11.01.1971	00.00.00	0.0	5.494	5.494	0.0
12.01.1971	00.00.00	0.0	3.694	3.694	0.0
13.01.1971	00.00.00	0.0	2.394	2.394	0.0
14.01.1971	00.00.00	0.0	0.394	0.394	0.0
15.01.1971	00.00.00	0.0	-0.706	-0.706	0.0
16.01.1971	00.00.00	0.0	1.094	1.094	0.0
17.01.1971	00.00.00	0.3825	1.494	1.494	0.0
18.01.1971	00.00.00	2.9325	3.594	3.594	0.0
19.01.1971	00.00.00	2.55	4.494	4.494	0.0
20.01.1971	00.00.00	26.6475	3.894	3.894	0.0
21.01.1971	00.00.00	14.4075	3.794	3.794	0.0
22.01.1971	00.00.00	3.57	2.694	2.694	0.0
23.01.1971	00.00.00	1.02	2.694	2.694	0.0
24.01.1971	00.00.00	17.595	2.994	2.994	0.0
25.01.1971	00.00.00	13.6425	4.394	4.394	0.0
26.01.1971	00.00.00	14.9175	5.094	5.094	0.0
27.01.1971	00.00.00	0.6375	2.494	2.494	0.0
28.01.1971	00.00.00	0.0	1.594	1.594	0.0
29.01.1971	00.00.00	0.0	0.094	0.094	0.0
30.01.1971	00.00.00	0.0	-2.406	-2.406	0.0
31.01.1971	00.00.00	22.185	-3.206	-3.206	0.0
01.02.1971	00.00.00	1.9114	-4.631	-4.631	0.0
02.02.1971	00.00.00	0.0	-6.231	-6.231	0.0
03.02.1971	00.00.00	2.9174	-0.331	-0.331	0.0
04.02.1971	00.00.00	0.0	4.669	4.669	0.0
05.02.1971	00.00.00	0.0	5.869	5.869	0.0
06.02.1971	00.00.00	0.0	5.669	5.669	0.0
