Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.0	-6.235	-6.235	0.0
02.01.1971	00.00.00	0.0	-6.735	-6.735	0.0
03.01.1971	00.00.00	0.0	-5.835	-5.835	0.0
04.01.1971	00.00.00	0.2922	-0.135	-0.135	0.0
05.01.1971	00.00.00	0.1461	2.665	2.665	0.0
06.01.1971	00.00.00	0.0	-4.435	-4.435	0.0
07.01.1971	00.00.00	8.3277	-4.835	-4.835	0.0
08.01.1971	00.00.00	47.0442	3.765	3.765	0.0
09.01.1971	00.00.00	6.1362	7.165	7.165	0.0
10.01.1971	00.00.00	4.0908	7.365	7.365	0.0
11.01.1971	00.00.00	0.0	6.065	6.065	0.0
12.01.1971	00.00.00	0.0	4.265	4.265	0.0
13.01.1971	00.00.00	0.0	2.965	2.965	0.0
14.01.1971	00.00.00	0.0	0.965	0.965	0.0
15.01.1971	00.00.00	0.0	-0.135	-0.135	0.0
16.01.1971	00.00.00	0.0	1.665	1.665	0.0
17.01.1971	00.00.00	0.4383	2.065	2.065	0.0
18.01.1971	00.00.00	3.3603	4.165	4.165	0.0
19.01.1971	00.00.00	2.922	5.065	5.065	0.0
20.01.1971	00.00.00	30.5349	4.465	4.465	0.0
21.01.1971	00.00.00	16.5093	4.365	4.365	0.0
22.01.1971	00.00.00	4.0908	3.265	3.265	0.0
23.01.1971	00.00.00	1.1688	3.265	3.265	0.0
24.01.1971	00.00.00	20.1618	3.565	3.565	0.0
25.01.1971	00.00.00	15.6327	4.965	4.965	0.0
26.01.1971	00.00.00	17.0937	5.665	5.665	0.0
27.01.1971	00.00.00	0.7305	3.065	3.065	0.0
28.01.1971	00.00.00	0.0	2.165	2.165	0.0
29.01.1971	00.00.00	0.0	0.665	0.665	0.0
30.01.1971	00.00.00	0.0	-1.835	-1.835	0.0
31.01.1971	00.00.00	25.4214	-2.635	-2.635	0.0
01.02.1971	00.00.00	2.8709	-3.752	-3.752	0.0
02.02.1971	00.00.00	0.0	-5.352	-5.352	0.0
03.02.1971	00.00.00	4.3819	0.548	0.548	0.0
04.02.1971	00.00.00	0.0	5.548	5.548	0.0
05.02.1971	00.00.00	0.0	6.748	6.748	0.0
06.02.1971	00.00.00	0.0	6.548	6.548	0.0
07.02.1971	00.00.00	0.0	6.648	6.648	0.0
08.02.1971	00.00.00	0.0	6.748	6.748	0.0
09.02.1971	00.00.00	0.0	7.248	7.248	0.0
10.02.1971	00.00.00	0.0	4.648	4.648	0.0
11.02.1971	00.00.00	0.1511	3.548	3.548	0.0
12.02.1971	00.00.00	6.044	4.848	4.848	0.0
13.02.1971	00.00.00	41.2503	6.248	6.248	0.0
14.02.1971	00.00.00	32.1843	5.048	5.048	0.0
15.02.1971	00.00.00	29.3134	2.748	2.748	0.0
16.02.1971	00.00.00	81.1407	3.748	3.748	0.0
17.02.1971	00.00.00	63.7642	3.448	3.448	0.0
18.02.1971	00.00.00	26.5936	2.848	2.848	0.0
19.02.1971	00.00.00	5.8929	2.948	2.948	0.0
20.02.1971	00.00.00	0.0	-0.152	-0.152	0.0
21.02.1971	00.00.00	14.8078	-0.652	-0.652	0.0
22.02.1971	00.00.00	4.3819	2.448	2.448	0.0
23.02.1971	00.00.00	0.0	1.048	1.048	0.0
24.02.1971	00.00.00	0.0	2.048	2.048	0.0
25.02.1971	00.00.00	0.0	5.648	5.648	0.0
26.02.1971	00.00.00	0.0	-0.152	-0.152	0.0
27.02.1971	00.00.00	0.0	-4.552	-4.552	0.0
28.02.1971	00.00.00	0.0	-5.552	-5.552	0.0
01.03.1971	00.00.00	0.0	-4.443	-4.443	0.0
02.03.1971	00.00.00	0.0	-6.543	-6.543	0.0
03.03.1971	00.00.00	0.504	-6.443	-6.443	0.0
