Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.0	-8.023	-8.023	0.0
02.01.1971	00.00.00	0.0	-8.523	-8.523	0.0
03.01.1971	00.00.00	0.0	-7.623	-7.623	0.0
04.01.1971	00.00.00	0.1932	-1.923	-1.923	0.0
05.01.1971	00.00.00	0.0966	0.877	0.877	0.0
06.01.1971	00.00.00	0.0	-6.223	-6.223	0.0
07.01.1971	00.00.00	5.5062	-6.623	-6.623	0.0
08.01.1971	00.00.00	31.1052	1.977	1.977	0.0
09.01.1971	00.00.00	4.0572	5.377	5.377	0.0
10.01.1971	00.00.00	2.7048	5.577	5.577	0.0
11.01.1971	00.00.00	0.0	4.277	4.277	0.0
12.01.1971	00.00.00	0.0	2.477	2.477	0.0
13.01.1971	00.00.00	0.0	1.177	1.177	0.0
14.01.1971	00.00.00	0.0	-0.823	-0.823	0.0
15.01.1971	00.00.00	0.0	-1.923	-1.923	0.0
16.01.1971	00.00.00	0.0	-0.123	-0.123	0.0
17.01.1971	00.00.00	0.2898	0.277	0.277	0.0
18.01.1971	00.00.00	2.2218	2.377	2.377	0.0
19.01.1971	00.00.00	1.932	3.277	3.277	0.0
20.01.1971	00.00.00	20.1894	2.677	2.677	0.0
21.01.1971	00.00.00	10.9158	2.577	2.577	0.0
22.01.1971	00.00.00	2.7048	1.477	1.477	0.0
23.01.1971	00.00.00	0.7728	1.477	1.477	0.0
24.01.1971	00.00.00	13.3308	1.777	1.777	0.0
25.01.1971	00.00.00	10.3362	3.177	3.177	0.0
26.01.1971	00.00.00	11.3022	3.877	3.877	0.0
27.01.1971	00.00.00	0.483	1.277	1.277	0.0
28.01.1971	00.00.00	0.0	0.377	0.377	0.0
29.01.1971	00.00.00	0.0	-1.123	-1.123	0.0
30.01.1971	00.00.00	0.0	-3.623	-3.623	0.0
31.01.1971	00.00.00	16.8084	-4.423	-4.423	0.0
01.02.1971	00.00.00	1.9304	-4.177	-4.177	0.0
02.02.1971	00.00.00	0.0	-5.777	-5.777	0.0
03.02.1971	00.00.00	2.9464	0.123	0.123	0.0
04.02.1971	00.00.00	0.0	5.123	5.123	0.0
05.02.1971	00.00.00	0.0	6.323	6.323	0.0
06.02.1971	00.00.00	0.0	6.123	6.123	0.0
07.02.1971	00.00.00	0.0	6.223	6.223	0.0
08.02.1971	00.00.00	0.0	6.323	6.323	0.0
09.02.1971	00.00.00	0.0	6.823	6.823	0.0
10.02.1971	00.00.00	0.0	4.223	4.223	0.0
11.02.1971	00.00.00	0.1016	3.123	3.123	0.0
12.02.1971	00.00.00	4.064	4.423	4.423	0.0
13.02.1971	00.00.00	27.7368	5.823	5.823	0.0
14.02.1971	00.00.00	21.6408	4.623	4.623	0.0
15.02.1971	00.00.00	19.7104	2.323	2.323	0.0
16.02.1971	00.00.00	54.5592	3.323	3.323	0.0
17.02.1971	00.00.00	42.8752	3.023	3.023	0.0
18.02.1971	00.00.00	17.8816	2.423	2.423	0.0
19.02.1971	00.00.00	3.9624	2.523	2.523	0.0
20.02.1971	00.00.00	0.0	-0.577	-0.577	0.0
21.02.1971	00.00.00	9.9568	-1.077	-1.077	0.0
22.02.1971	00.00.00	2.9464	2.023	2.023	0.0
23.02.1971	00.00.00	0.0	0.623	0.623	0.0
24.02.1971	00.00.00	0.0	1.623	1.623	0.0
25.02.1971	00.00.00	0.0	5.223	5.223	0.0
26.02.1971	00.00.00	0.0	-0.577	-0.577	0.0
27.02.1971	00.00.00	0.0	-4.977	-4.977	0.0
28.02.1971	00.00.00	0.0	-5.977	-5.977	0.0
01.03.1971	00.00.00	0.0	-5.54	-5.54	0.0
02.03.1971	00.00.00	0.0	-7.64	-7.64	0.0
03.03.1971	00.00.00	0.4844	-7.54	-7.54	0.0
04.03.1971	00.00.00	0.0	-9.64	-9.64	0.0
05.03.1971	00.00.00	0.0	-11.04	-11.04	0.0
06.03.1971	00.00.00	0.0	-7.94	-7.94	0.0
07.03.1971	00.00.00	0.0	-2.84	-2.84	0.0
08.03.1971	00.00.00	0.0	3.16	3.16	0.0
09.03.1971	00.00.00	0.1211	5.46	5.46	0.0
10.03.1971	00.00.00	0.0	0.36	0.36	0.0
11.03.1971	00.00.00	1.5743	-3.14	-3.14	0.0
12.03.1971	00.00.00	1.5743	-3.44	-3.44	0.0
13.03.1971	00.00.00	13.9265	-0.64	-0.64	0.0
14.03.1971	00.00.00	0.0	3.66	3.66	0.0
15.03.1971	00.00.00	4.6018	2.66	2.66	0.0
16.03.1971	00.00.00	4.9651	2.66	2.66	0.0
17.03.1971	00.00.00	27.0053	2.96	2.96	0.0
18.03.1971	00.00.00	4.2385	2.36	2.36	0.0
19.03.1971	00.00.00	7.9926	1.86	1.86	0.0
20.03.1971	00.00.00	36.0878	1.76	1.76	0.0
21.03.1971	00.00.00	0.0	2.76	2.76	0.0
22.03.1971	00.00.00	0.0	1.36	1.36	0.0
23.03.1971	00.00.00	0.0	-0.14	-0.14	0.0
24.03.1971	00.00.00	4.9651	-0.24	-0.24	0.0
25.03.1971	00.00.00	3.3908	3.66	3.66	0.0
26.03.1971	00.00.00	0.0	3.76	3.76	0.0
27.03.1971	00.00.00	0.0	2.56	2.56	0.0
28.03.1971	00.00.00	0.0	-0.14	-0.14	0.0
29.03.1971	00.00.00	0.0	-0.54	-0.54	0.0
30.03.1971	00.00.00	0.0	2.06	2.06	0.0
31.03.1971	00.00.00	0.0	1.26	1.26	0.0
01.04.1971	00.00.00	1.0374	1.832	1.832	0.0
02.04.1971	00.00.00	8.4474	2.732	2.732	0.0
03.04.1971	00.00.00	0.2964	4.132	4.132	0.0
04.04.1971	00.00.00	0.0	4.432	4.432	0.0
05.04.1971	00.00.00	0.0	3.832	3.832	0.0
06.04.1971	00.00.00	0.0	3.132	3.132	0.0
07.04.1971	00.00.00	2.8158	4.132	4.132	0.0
08.04.1971	00.00.00	8.2992	4.732	4.732	0.0
09.04.1971	00.00.00	0.0	4.932	4.932	0.0
10.04.1971	00.00.00	0.0	6.232	6.232	0.0
11.04.1971	00.00.00	0.0	5.532	5.532	0.0
12.04.1971	00.00.00	0.0	6.432	6.432	0.0
13.04.1971	00.00.00	0.0	8.532	8.532	0.0
14.04.1971	00.00.00	0.0	7.032	7.032	0.0
15.04.1971	00.00.00	0.0	7.032	7.032	0.0
16.04.1971	00.00.00	0.0	7.132	7.132	0.0
17.04.1971	00.00.00	4.446	4.532	4.532	0.0
18.04.1971	00.00.00	2.8158	4.832	4.832	0.0
19.04.1971	00.00.00	7.8546	5.932	5.932	0.0
20.04.1971	00.00.00	0.4446	6.032	6.032	0.0
21.04.1971	00.00.00	0.0	5.932	5.932	0.0
22.04.1971	00.00.00	0.0	6.432	6.432	0.0
23.04.1971	00.00.00	0.0	7.232	7.232	0.0
24.04.1971	00.00.00	0.0	7.032	7.032	0.0
25.04.1971	00.00.00	0.0	4.932	4.932	0.0
26.04.1971	00.00.00	7.7064	2.332	2.332	0.0
27.04.1971	00.00.00	0.0	1.632	1.632	0.0
28.04.1971	00.00.00	0.4446	2.232	2.232	0.0
29.04.1971	00.00.00	2.3712	2.332	2.332	0.0
30.04.1971	00.00.00	0.0	3.432	3.432	0.0
01.05.1971	00.00.00	0.0	3.688	3.688	0.0
02.05.1971	00.00.00	0.0	4.588	4.588	0.0
03.05.1971	00.00.00	0.0	7.188	7.188	0.0
04.05.1971	00.00.00	0.0	8.288	8.288	0.0
05.05.1971	00.00.00	0.0	8.988	8.988	0.0
06.05.1971	00.00.00	0.0	8.188	8.188	0.0
07.05.1971	00.00.00	0.0	9.388	9.388	0.0
08.05.1971	00.00.00	0.0	9.988	9.988	0.0
09.05.1971	00.00.00	1.7496	11.388	11.388	0.0
