date        time         P_mm_256moh   T_minC_256moh   T_maxC_256moh     Q_Myglevatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2071  00:00:00           0.000           0.400           0.400           0.000 
02.01.2071  00:00:00           0.000          -4.250          -4.250           0.000 
03.01.2071  00:00:00           0.067           2.150           2.150           0.000 
04.01.2071  00:00:00           0.950           0.650           0.650           0.000 
05.01.2071  00:00:00           0.000          -1.750          -1.750           0.000 
06.01.2071  00:00:00           0.000          -3.225          -3.225           0.000 
07.01.2071  00:00:00           0.000          -3.450          -3.450           0.000 
08.01.2071  00:00:00           6.500           0.450           0.450           0.000 
09.01.2071  00:00:00          38.918           3.750           3.750           0.000 
10.01.2071  00:00:00          22.155           5.183           5.183           0.000 
11.01.2071  00:00:00           0.000           7.026           7.026           0.000 
12.01.2071  00:00:00           0.000           3.550           3.550           0.000 
13.01.2071  00:00:00           0.000           1.950           1.950           0.000 
14.01.2071  00:00:00           0.117           3.350           3.350           0.000 
15.01.2071  00:00:00           1.252           5.117           5.117           0.000 
16.01.2071  00:00:00          10.000           7.026           7.026           0.000 
17.01.2071  00:00:00          16.925           7.026           7.026           0.000 
18.01.2071  00:00:00           7.471           4.350           4.350           0.000 
19.01.2071  00:00:00           0.000           2.150           2.150           0.000 
20.01.2071  00:00:00          33.717           2.750           2.750           0.000 
21.01.2071  00:00:00           0.650           1.650           1.650           0.000 
22.01.2071  00:00:00           1.567          -0.650          -0.650           0.000 
23.01.2071  00:00:00           0.000          -1.450          -1.450           0.000 
24.01.2071  00:00:00          26.520          -1.150          -1.150           0.000 
25.01.2071  00:00:00           0.000          -2.450          -2.450           0.000 
26.01.2071  00:00:00           8.829          -1.450          -1.450           0.000 
27.01.2071  00:00:00           9.800          -0.517          -0.517           0.000 
28.01.2071  00:00:00           9.000          -2.017          -2.017           0.000 
29.01.2071  00:00:00           0.000          -4.995          -4.995           0.000 
30.01.2071  00:00:00           1.315          -3.450          -3.450           0.000 
31.01.2071  00:00:00           0.500          -2.017          -2.017           0.000 
01.02.2071  00:00:00           0.800          -2.600          -2.600           0.000 
02.02.2071  00:00:00           0.000          -2.350          -2.350           0.000 
03.02.2071  00:00:00           0.000           0.400           0.400           0.000 
04.02.2071  00:00:00           2.450          -3.225          -3.225           0.000 
05.02.2071  00:00:00           0.000          -7.320          -7.320           0.000 
06.02.2071  00:00:00           0.000          -8.796          -8.796           0.000 
07.02.2071  00:00:00           0.000          -6.250          -6.250           0.000 
08.02.2071  00:00:00           0.000          -2.950          -2.950           0.000 
09.02.2071  00:00:00           7.100          -2.525          -2.525           0.000 
10.02.2071  00:00:00           0.950          -2.850          -2.850           0.000 
11.02.2071  00:00:00           0.300          -3.050          -3.050           0.000 
12.02.2071  00:00:00           0.000          -8.627          -8.627           0.000 
13.02.2071  00:00:00           0.000          -7.770          -7.770           0.000 
14.02.2071  00:00:00           0.000          -6.350          -6.350           0.000 
15.02.2071  00:00:00           0.650          -2.750          -2.750           0.000 
16.02.2071  00:00:00           0.000          -0.583          -0.583           0.000 
17.02.2071  00:00:00           0.000          -1.450          -1.450           0.000 
18.02.2071  00:00:00           0.000          -0.800          -0.800           0.000 
19.02.2071  00:00:00           0.000          -0.450          -0.450           0.000 
20.02.2071  00:00:00           0.000           1.650           1.650           0.000 
21.02.2071  00:00:00           0.000           0.400           0.400           0.000 
22.02.2071  00:00:00           0.000          -0.250          -0.250           0.000 
23.02.2071  00:00:00          20.525           1.750           1.750           0.000 
24.02.2071  00:00:00          48.128           1.850           1.850           0.000 
25.02.2071  00:00:00           3.200           1.650           1.650           0.000 
26.02.2071  00:00:00          16.093           2.250           2.250           0.000 
27.02.2071  00:00:00           3.900           2.350           2.350           0.000 
28.02.2071  00:00:00           0.800           1.850           1.850           0.000 
01.03.2071  00:00:00          10.200           2.250           2.250           0.000 
02.03.2071  00:00:00           8.400           3.350           3.350           0.000 
03.03.2071  00:00:00           2.100           2.150           2.150           0.000 
04.03.2071  00:00:00          13.300           2.650           2.650           0.000 
05.03.2071  00:00:00           9.900           2.750           2.750           0.000 
06.03.2071  00:00:00           0.000           1.850           1.850           0.000 
07.03.2071  00:00:00           0.000           0.850           0.850           0.000 
08.03.2071  00:00:00           0.000           1.650           1.650           0.000 
09.03.2071  00:00:00           0.000           4.150           4.150           0.000 
10.03.2071  00:00:00           0.000           4.050           4.050           0.000 
11.03.2071  00:00:00           0.400           2.750           2.750           0.000 
12.03.2071  00:00:00           1.500           3.450           3.450           0.000 
13.03.2071  00:00:00           0.000           3.950           3.950           0.000 
14.03.2071  00:00:00           0.000           2.450           2.450           0.000 
15.03.2071  00:00:00           0.000           4.050           4.050           0.000 
16.03.2071  00:00:00           0.000           4.550           4.550           0.000 
17.03.2071  00:00:00           0.300           5.350           5.350           0.000 
18.03.2071  00:00:00           2.450           7.683           7.683           0.000 
19.03.2071  00:00:00           0.000           7.450           7.450           0.000 
20.03.2071  00:00:00           0.067           5.050           5.050           0.000 
21.03.2071  00:00:00           0.000           4.350           4.350           0.000 
22.03.2071  00:00:00           0.000           3.650           3.650           0.000 
23.03.2071  00:00:00           0.000           4.250           4.250           0.000 
24.03.2071  00:00:00           1.000           6.550           6.550           0.000 
25.03.2071  00:00:00           0.000           9.650           9.650           0.000 
26.03.2071  00:00:00           5.600           9.650           9.650           0.000 
27.03.2071  00:00:00           1.633           2.350           2.350           0.000 
28.03.2071  00:00:00           0.000           0.900           0.900           0.000 
29.03.2071  00:00:00           0.000           0.150           0.150           0.000 
30.03.2071  00:00:00           0.067           2.250           2.250           0.000 
31.03.2071  00:00:00           1.633           3.350           3.350           0.000 
01.04.2071  00:00:00           1.900           3.950           3.950           0.000 
02.04.2071  00:00:00          14.914           3.650           3.650           0.000 
03.04.2071  00:00:00           7.386           3.017           3.017           0.000 
04.04.2071  00:00:00           5.260           4.650           4.650           0.000 
05.04.2071  00:00:00           1.252           5.183           5.183           0.000 
06.04.2071  00:00:00           0.000           3.150           3.150           0.000 
07.04.2071  00:00:00           0.000           2.550           2.550           0.000 
08.04.2071  00:00:00           8.571           3.950           3.950           0.000 
09.04.2071  00:00:00           0.900           6.550           6.550           0.000 
10.04.2071  00:00:00           6.800           7.750           7.750           0.000 
11.04.2071  00:00:00          28.961           8.550           8.550           0.000 
12.04.2071  00:00:00           1.000           7.550           7.550           0.000 
13.04.2071  00:00:00           6.800           5.950           5.950           0.000 
14.04.2071  00:00:00          16.249           7.250           7.250           0.000 
15.04.2071  00:00:00           2.600           7.250           7.250           0.000 
16.04.2071  00:00:00           0.000           6.350           6.350           0.000 
17.04.2071  00:00:00           0.400           4.650           4.650           0.000 
18.04.2071  00:00:00           0.000           5.450           5.450           0.000 
19.04.2071  00:00:00           0.000           6.417           6.417           0.000 
20.04.2071  00:00:00           0.000           6.150           6.150           0.000 
21.04.2071  00:00:00          15.113           6.550           6.550           0.000 
22.04.2071  00:00:00          19.073           8.450           8.450           0.000 
23.04.2071  00:00:00           0.000           5.750           5.750           0.000 
24.04.2071  00:00:00           0.000           6.050           6.050           0.000 
25.04.2071  00:00:00           0.000           8.450           8.450           0.000 
26.04.2071  00:00:00           0.000          10.350          10.350           0.000 
27.04.2071  00:00:00           0.000           9.850           9.850           0.000 
28.04.2071  00:00:00           0.000           9.550           9.550           0.000 
29.04.2071  00:00:00           0.000           8.850           8.850           0.000 
30.04.2071  00:00:00           0.000          10.450          10.450           0.000 
01.05.2071  00:00:00           2.450          10.250          10.250           0.000 
02.05.2071  00:00:00          12.675           9.483           9.483           0.000 
03.05.2071  00:00:00           3.200          11.104          11.104           0.000 
04.05.2071  00:00:00           0.000          11.850          11.850           0.000 
05.05.2071  00:00:00           0.650          12.750          12.750           0.000 
06.05.2071  00:00:00           0.300          13.650          13.650           0.000 
07.05.2071  00:00:00           0.000          13.983          13.983           0.000 
08.05.2071  00:00:00           0.000          13.250          13.250           0.000 
09.05.2071  00:00:00           0.000          13.983          13.983           0.000 
10.05.2071  00:00:00           0.000          13.850          13.850           0.000 
11.05.2071  00:00:00           0.000          13.850          13.850           0.000 
12.05.2071  00:00:00           0.000          14.350          14.350           0.000 
13.05.2071  00:00:00           0.000          13.750          13.750           0.000 
14.05.2071  00:00:00           1.200          12.050          12.050           0.000 
15.05.2071  00:00:00          23.533          12.850          12.850           0.000 
16.05.2071  00:00:00           2.167          11.650          11.650           0.000 
17.05.2071  00:00:00           0.000          10.750          10.750           0.000 
18.05.2071  00:00:00          22.938          11.550          11.550           0.000 
19.05.2071  00:00:00          11.333          10.958          10.958           0.000 
20.05.2071  00:00:00           1.900          10.650          10.650           0.000 
21.05.2071  00:00:00           0.000           9.650           9.650           0.000 
22.05.2071  00:00:00           0.000           9.750           9.750           0.000 
23.05.2071  00:00:00           0.000          10.150          10.150           0.000 
24.05.2071  00:00:00           3.500          10.150          10.150           0.000 
25.05.2071  00:00:00           0.900          11.650          11.650           0.000 
26.05.2071  00:00:00           0.000          13.650          13.650           0.000 
27.05.2071  00:00:00           1.000          10.750          10.750           0.000 
28.05.2071  00:00:00           0.117           8.917           8.917           0.000 
29.05.2071  00:00:00           0.000           9.750           9.750           0.000 
30.05.2071  00:00:00           5.380          10.650          10.650           0.000 
31.05.2071  00:00:00          10.100           9.650           9.650           0.000 
01.06.2071  00:00:00           4.933          10.150          10.150           0.000 
02.06.2071  00:00:00           1.315          11.850          11.850           0.000 
03.06.2071  00:00:00          10.757          12.500          12.500           0.000 
04.06.2071  00:00:00           0.000          15.050          15.050           0.000 
05.06.2071  00:00:00           0.000          17.183          17.183           0.000 
06.06.2071  00:00:00           7.557          16.206          16.206           0.000 
07.06.2071  00:00:00           1.315          14.350          14.350           0.000 
08.06.2071  00:00:00           2.100          14.483          14.483           0.000 
09.06.2071  00:00:00           0.900          15.450          15.450           0.000 
10.06.2071  00:00:00           0.000          14.050          14.050           0.000 
11.06.2071  00:00:00           0.000          12.050          12.050           0.000 
12.06.2071  00:00:00           0.000          11.650          11.650           0.000 
13.06.2071  00:00:00           0.000          11.450          11.450           0.000 
14.06.2071  00:00:00           0.000          13.250          13.250           0.000 
15.06.2071  00:00:00           0.000          14.850          14.850           0.000 
16.06.2071  00:00:00           0.000          15.183          15.183           0.000 
17.06.2071  00:00:00           0.000          17.514          17.514           0.000 
18.06.2071  00:00:00           0.117          14.950          14.950           0.000 
19.06.2071  00:00:00           0.000          16.206          16.206           0.000 
20.06.2071  00:00:00           0.000          17.183          17.183           0.000 
21.06.2071  00:00:00           0.117          16.087          16.087           0.000 
22.06.2071  00:00:00           6.300          15.850          15.850           0.000 
23.06.2071  00:00:00           0.067          14.250          14.250           0.000 
24.06.2071  00:00:00          21.064          13.983          13.983           0.000 
25.06.2071  00:00:00           0.200          13.250          13.250           0.000 
26.06.2071  00:00:00           1.800          12.850          12.850           0.000 
27.06.2071  00:00:00           1.000          15.450          15.450           0.000 
28.06.2071  00:00:00           0.000          16.640          16.640           0.000 
29.06.2071  00:00:00           0.000          17.100          17.100           0.000 
30.06.2071  00:00:00           0.000          18.168          18.168           0.000 
01.07.2071  00:00:00           0.000          18.655          18.655           0.000 
02.07.2071  00:00:00           0.117          13.917          13.917           0.000 
03.07.2071  00:00:00           0.000          13.050          13.050           0.000 
04.07.2071  00:00:00           0.000          13.183          13.183           0.000 
05.07.2071  00:00:00           0.000          15.550          15.550           0.000 
06.07.2071  00:00:00           0.000          17.350          17.350           0.000 
07.07.2071  00:00:00           0.000          18.308          18.308           0.000 
08.07.2071  00:00:00           0.200          17.183          17.183           0.000 
09.07.2071  00:00:00           0.000          18.168          18.168           0.000 
10.07.2071  00:00:00           0.000          17.267          17.267           0.000 
11.07.2071  00:00:00           0.000          15.050          15.050           0.000 
12.07.2071  00:00:00           0.000          16.087          16.087           0.000 
13.07.2071  00:00:00           0.000          19.118          19.118           0.000 
14.07.2071  00:00:00           0.900          19.514          19.514           0.000 
15.07.2071  00:00:00           1.633          19.596          19.596           0.000 
16.07.2071  00:00:00           7.000          16.933          16.933           0.000 
17.07.2071  00:00:00           3.100          17.677          17.677           0.000 
18.07.2071  00:00:00          10.414          17.183          17.183           0.000 
19.07.2071  00:00:00           0.067          19.118          19.118           0.000 
20.07.2071  00:00:00           0.000          19.432          19.432           0.000 
21.07.2071  00:00:00           0.000          20.171          20.171           0.000 
22.07.2071  00:00:00           0.000          20.663          20.663           0.000 
23.07.2071  00:00:00           7.300          19.514          19.514           0.000 
24.07.2071  00:00:00           0.000          16.206          16.206           0.000 
25.07.2071  00:00:00           0.000          14.250          14.250           0.000 
