Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_Myglevatn
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.2071	00.00.00	56.4142195767195	3.15	3.15	0.0
02.01.2071	00.00.00	5.425	1.85	1.85	0.0
03.01.2071	00.00.00	7.42	3.95	3.95	0.0
04.01.2071	00.00.00	0.0	3.05	3.05	0.0
05.01.2071	00.00.00	0.0	-1.1	-1.1	0.0
06.01.2071	00.00.00	33.2833333333333	0.35	0.35	0.0
07.01.2071	00.00.00	60.9456845238095	4.35	4.35	0.0
08.01.2071	00.00.00	2.75	4.05	4.05	0.0
09.01.2071	00.00.00	9.2	3.75	3.75	0.0
10.01.2071	00.00.00	0.95	2.55	2.55	0.0
11.01.2071	00.00.00	0.1	3.75	3.75	0.0
12.01.2071	00.00.00	11.0	3.75	3.75	0.0
13.01.2071	00.00.00	4.8	5.78333333333333	5.78333333333333	0.0
14.01.2071	00.00.00	38.4523648648648	5.78333333333333	5.78333333333333	0.0
15.01.2071	00.00.00	12.6	4.55	4.55	0.0
16.01.2071	00.00.00	16.1083333333333	5.25	5.25	0.0
17.01.2071	00.00.00	2.75	2.45	2.45	0.0
18.01.2071	00.00.00	43.161822089947	4.25	4.25	0.0
19.01.2071	00.00.00	13.2888888888889	4.65	4.65	0.0
20.01.2071	00.00.00	14.9909090909091	1.85	1.85	0.0
21.01.2071	00.00.00	53.9347387566137	4.15	4.15	0.0
22.01.2071	00.00.00	1.8	3.05	3.05	0.0
23.01.2071	00.00.00	0.75	2.3	2.3	0.0
24.01.2071	00.00.00	0.0	-0.05	-0.05	0.0
25.01.2071	00.00.00	8.3	1.85	1.85	0.0
26.01.2071	00.00.00	22.6047619047619	3.35	3.35	0.0
27.01.2071	00.00.00	2.3	1.75	1.75	0.0
28.01.2071	00.00.00	0.3	1.25	1.25	0.0
29.01.2071	00.00.00	21.0809523809524	1.25	1.25	0.0
30.01.2071	00.00.00	9.1	4.05	4.05	0.0
31.01.2071	00.00.00	0.0	2.75	2.75	0.0
01.02.2071	00.00.00	0.0	-0.35	-0.35	0.0
02.02.2071	00.00.00	0.166666666666606	1.15	1.15	0.0
03.02.2071	00.00.00	16.4153846153846	2.95	2.95	0.0
04.02.2071	00.00.00	0.0	2.05	2.05	0.0
05.02.2071	00.00.00	4.1	2.45	2.45	0.0
06.02.2071	00.00.00	19.2319999999999	2.55	2.55	0.0
07.02.2071	00.00.00	9.5	2.85	2.85	0.0
08.02.2071	00.00.00	7.1	2.95	2.95	0.0
09.02.2071	00.00.00	0.0	2.25	2.25	0.0
10.02.2071	00.00.00	3.2	0.75	0.75	0.0
11.02.2071	00.00.00	15.2833333333333	1.15	1.15	0.0
12.02.2071	00.00.00	0.0	0.75	0.75	0.0
13.02.2071	00.00.00	0.0	-1.95	-1.95	0.0
14.02.2071	00.00.00	0.0	-2.55	-2.55	0.0
15.02.2071	00.00.00	0.0	-3.375	-3.375	0.0
16.02.2071	00.00.00	10.2142857142857	-1.38333333333333	-1.38333333333333	0.0
17.02.2071	00.00.00	0.3	2.3	2.3	0.0
18.02.2071	00.00.00	0.0	-1.45	-1.45	0.0
19.02.2071	00.00.00	0.0	-3.225	-3.225	0.0
20.02.2071	00.00.00	0.0	-6.66111111111111	-6.66111111111111	0.0
21.02.2071	00.00.00	0.0666666666666667	-4.61666666666667	-4.61666666666667	0.0
22.02.2071	00.00.00	0.9	1.05	1.05	0.0
23.02.2071	00.00.00	2.16666666666667	1.75	1.75	0.0
24.02.2071	00.00.00	3.2	5.05	5.05	0.0
25.02.2071	00.00.00	0.0	1.85	1.85	0.0
26.02.2071	00.00.00	5.1	0.95	0.95	0.0
27.02.2071	00.00.00	0.0	0.35	0.35	0.0
28.02.2071	00.00.00	0.0	-0.116666666666667	-0.116666666666667	0.0
01.03.2071	00.00.00	0.0	-0.45	-0.45	0.0
02.03.2071	00.00.00	0.6	-0.116666666666667	-0.116666666666667	0.0
03.03.2071	00.00.00	0.0	-1.1	-1.1	0.0
04.03.2071	00.00.00	0.0	0.45	0.45	0.0
05.03.2071	00.00.00	0.0	0.25	0.25	0.0
06.03.2071	00.00.00	0.0	-1.45	-1.45	0.0
07.03.2071	00.00.00	0.0	-1.95	-1.95	0.0
08.03.2071	00.00.00	0.8	1.15	1.15	0.0
09.03.2071	00.00.00	1.3	2.3	2.3	0.0
10.03.2071	00.00.00	0.3	2.15	2.15	0.0
11.03.2071	00.00.00	0.4	1.75	1.75	0.0
12.03.2071	00.00.00	0.6	2.35	2.35	0.0
13.03.2071	00.00.00	3.5	2.05	2.05	0.0
14.03.2071	00.00.00	15.7416666666667	3.35	3.35	0.0
15.03.2071	00.00.00	5.5	3.35	3.35	0.0
16.03.2071	00.00.00	0.0666666666666667	3.25	3.25	0.0
17.03.2071	00.00.00	0.4	3.25	3.25	0.0
18.03.2071	00.00.00	0.0666666666666667	3.35	3.35	0.0
19.03.2071	00.00.00	7.9	3.15	3.15	0.0
20.03.2071	00.00.00	7.66	3.55	3.55	0.0
21.03.2071	00.00.00	10.9	3.35	3.35	0.0
22.03.2071	00.00.00	0.8	3.25	3.25	0.0
23.03.2071	00.00.00	0.0666666666666667	2.25	2.25	0.0
24.03.2071	00.00.00	0.0	1.05	1.05	0.0
25.03.2071	00.00.00	0.0	0.65	0.65	0.0
26.03.2071	00.00.00	0.0	0.95	0.95	0.0
27.03.2071	00.00.00	0.0	1.15	1.15	0.0
28.03.2071	00.00.00	3.0	2.3	2.3	0.0
29.03.2071	00.00.00	0.75	2.3	2.3	0.0
30.03.2071	00.00.00	0.0	1.65	1.65	0.0
31.03.2071	00.00.00	0.0	0.35	0.35	0.0
01.04.2071	00.00.00	0.0	-0.116666666666667	-0.116666666666667	0.0
02.04.2071	00.00.00	0.1	1.55	1.55	0.0
03.04.2071	00.00.00	3.7	2.95	2.95	0.0
04.04.2071	00.00.00	19.7619289340101	4.55	4.55	0.0
05.04.2071	00.00.00	2.9	3.75	3.75	0.0
06.04.2071	00.00.00	0.3	3.65	3.65	0.0
07.04.2071	00.00.00	1.5	2.95	2.95	0.0
08.04.2071	00.00.00	0.0	2.85	2.85	0.0
09.04.2071	00.00.00	5.425	1.85	1.85	0.0
10.04.2071	00.00.00	18.0662857142857	4.45	4.45	0.0
11.04.2071	00.00.00	2.6	4.35	4.35	0.0
12.04.2071	00.00.00	0.0	2.65	2.65	0.0
13.04.2071	00.00.00	0.7	4.45	4.45	0.0
14.04.2071	00.00.00	0.0666666666666667	3.65	3.65	0.0
15.04.2071	00.00.00	5.5	4.55	4.55	0.0
16.04.2071	00.00.00	0.0	3.65	3.65	0.0
17.04.2071	00.00.00	2.75	9.61666666666667	9.61666666666667	0.0
18.04.2071	00.00.00	70.7781084656084	11.95	11.95	0.0
19.04.2071	00.00.00	44.5298115079364	7.25	7.25	0.0
20.04.2071	00.00.00	10.0428571428571	8.35	8.35	0.0
21.04.2071	00.00.00	0.0	16.325	16.325	0.0
22.04.2071	00.00.00	0.0	16.745	16.745	0.0
23.04.2071	00.00.00	1.8	14.75	14.75	0.0
24.04.2071	00.00.00	0.0	15.45	15.45	0.0
25.04.2071	00.00.00	0.0	12.1	12.1	0.0
26.04.2071	00.00.00	0.0	7.9	7.9	0.0
27.04.2071	00.00.00	0.0	5.55	5.55	0.0
28.04.2071	00.00.00	2.3	6.15	6.15	0.0
29.04.2071	00.00.00	4.7	15.65	15.65	0.0
30.04.2071	00.00.00	0.5	15.65	15.65	0.0
01.05.2071	00.00.00	15.375	13.05	13.05	0.0
02.05.2071	00.00.00	0.2	11.35	11.35	0.0
03.05.2071	00.00.00	0.6	9.45	9.45	0.0
04.05.2071	00.00.00	0.5	11.1041666666667	11.1041666666667	0.0
05.05.2071	00.00.00	45.7268022486771	12.5	12.5	0.0
06.05.2071	00.00.00	0.6	10.8541666666667	10.8541666666667	0.0
07.05.2071	00.00.00	0.0	7.35	7.35	0.0
08.05.2071	00.00.00	0.0	7.9	7.9	0.0
09.05.2071	00.00.00	0.0666666666666667	10.25	10.25	0.0
10.05.2071	00.00.00	0.0	14.35	14.35	0.0
11.05.2071	00.00.00	0.0	15.75	15.75	0.0
12.05.2071	00.00.00	0.0	16.0875	16.0875	0.0
13.05.2071	00.00.00	0.2	16.9214285714286	16.9214285714286	0.0
