Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_Myglevatn
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.2071	00.00.00	0.0	1.55	1.55	0.0
02.01.2071	00.00.00	0.0	2.43000000000002	2.43000000000002	0.0
03.01.2071	00.00.00	22.7	2.85	2.85	0.0
04.01.2071	00.00.00	24.6230769230769	5.73888888888892	5.73888888888892	0.0
05.01.2071	00.00.00	16.48	7.05	7.05	0.0
06.01.2071	00.00.00	2.9	4.05	4.05	0.0
07.01.2071	00.00.00	1.6	2.65	2.65	0.0
08.01.2071	00.00.00	0.0	-0.25	-0.25	0.0
09.01.2071	00.00.00	0.0	-1.38333333333333	-1.38333333333333	0.0
10.01.2071	00.00.00	5.9	3.75	3.75	0.0
11.01.2071	00.00.00	5.0	6.04090909090913	6.04090909090913	0.0
12.01.2071	00.00.00	2.6	1.25	1.25	0.0
13.01.2071	00.00.00	0.7	5.51666666666667	5.51666666666667	0.0
14.01.2071	00.00.00	6.4	3.95	3.95	0.0
15.01.2071	00.00.00	9.0	4.35	4.35	0.0
16.01.2071	00.00.00	0.4	5.65	5.65	0.0
17.01.2071	00.00.00	7.0	6.15	6.15	0.0
18.01.2071	00.00.00	0.0	3.45	3.45	0.0
19.01.2071	00.00.00	3.2	2.25	2.25	0.0
20.01.2071	00.00.00	0.0	2.25	2.25	0.0
21.01.2071	00.00.00	0.3	1.55	1.55	0.0
22.01.2071	00.00.00	1.3	5.05	5.05	0.0
23.01.2071	00.00.00	4.4	4.9	4.9	0.0
24.01.2071	00.00.00	0.9	7.05	7.05	0.0
25.01.2071	00.00.00	0.8	2.43000000000002	2.43000000000002	0.0
26.01.2071	00.00.00	3.8	5.93181818181825	5.93181818181825	0.0
27.01.2071	00.00.00	1.7	2.25	2.25	0.0
28.01.2071	00.00.00	0.0	-0.383333333333333	-0.383333333333333	0.0
29.01.2071	00.00.00	0.0	-0.55	-0.55	0.0
30.01.2071	00.00.00	0.6	-0.15	-0.15	0.0
31.01.2071	00.00.00	0.116666666666606	4.05	4.05	0.0
01.02.2071	00.00.00	0.9	5.25	5.25	0.0
02.02.2071	00.00.00	17.6944444444444	7.43571428571433	7.43571428571433	0.0
03.02.2071	00.00.00	0.0	2.85	2.85	0.0
04.02.2071	00.00.00	0.2	2.75	2.75	0.0
05.02.2071	00.00.00	1.77500000000002	4.15	4.15	0.0
06.02.2071	00.00.00	10.9684931506849	5.58333333333333	5.58333333333333	0.0
07.02.2071	00.00.00	0.0	1.55	1.55	0.0
08.02.2071	00.00.00	0.0	1.6	1.6	0.0
09.02.2071	00.00.00	0.0	1.85	1.85	0.0
10.02.2071	00.00.00	0.0	1.75	1.75	0.0
11.02.2071	00.00.00	0.0	-0.383333333333333	-0.383333333333333	0.0
12.02.2071	00.00.00	3.05	0.45	0.45	0.0
13.02.2071	00.00.00	0.4	-0.85	-0.85	0.0
14.02.2071	00.00.00	0.2	-1.31666666666667	-1.31666666666667	0.0
15.02.2071	00.00.00	1.25	-1.65	-1.65	0.0
16.02.2071	00.00.00	3.64347826086959	-1.55	-1.55	0.0
17.02.2071	00.00.00	7.0	-0.383333333333333	-0.383333333333333	0.0
18.02.2071	00.00.00	1.0	-1.55	-1.55	0.0
19.02.2071	00.00.00	2.3	-0.95	-0.95	0.0
20.02.2071	00.00.00	0.0	-2.75	-2.75	0.0
21.02.2071	00.00.00	0.0	-4.28333333333333	-4.28333333333333	0.0
22.02.2071	00.00.00	3.33846153846158	0.15	0.15	0.0
23.02.2071	00.00.00	9.6	2.15	2.15	0.0
24.02.2071	00.00.00	10.5739726027398	3.65	3.65	0.0
25.02.2071	00.00.00	0.116666666666606	2.85	2.85	0.0
26.02.2071	00.00.00	0.116666666666606	0.25	0.25	0.0
27.02.2071	00.00.00	0.0	-0.75	-0.75	0.0
28.02.2071	00.00.00	0.0	-0.45	-0.45	0.0
01.03.2071	00.00.00	0.0	-2.25	-2.25	0.0
02.03.2071	00.00.00	0.0	-2.85	-2.85	0.0
03.03.2071	00.00.00	4.53333333333333	-0.383333333333333	-0.383333333333333	0.0
04.03.2071	00.00.00	18.1666666666667	3.05	3.05	0.0
05.03.2071	00.00.00	21.8	2.95	2.95	0.0
06.03.2071	00.00.00	5.4	1.85	1.85	0.0
07.03.2071	00.00.00	25.1038461538462	3.05	3.05	0.0
08.03.2071	00.00.00	0.0	1.85	1.85	0.0
09.03.2071	00.00.00	0.116666666666606	1.55	1.55	0.0
10.03.2071	00.00.00	10.7054794520548	3.15	3.15	0.0
11.03.2071	00.00.00	2.01428571428574	3.25	3.25	0.0
12.03.2071	00.00.00	0.0	1.35	1.35	0.0
13.03.2071	00.00.00	0.0	1.25	1.25	0.0
14.03.2071	00.00.00	0.0	1.55	1.55	0.0
15.03.2071	00.00.00	0.25	2.05	2.05	0.0
16.03.2071	00.00.00	0.0	2.75	2.75	0.0
17.03.2071	00.00.00	0.0	2.05	2.05	0.0
18.03.2071	00.00.00	0.0	2.43000000000002	2.43000000000002	0.0
19.03.2071	00.00.00	0.0	2.43000000000002	2.43000000000002	0.0
20.03.2071	00.00.00	0.0	1.65	1.65	0.0
21.03.2071	00.00.00	14.4610389610389	2.25	2.25	0.0
22.03.2071	00.00.00	70.5625585315602	7.25	7.25	0.0
23.03.2071	00.00.00	5.5	10.15	10.15	0.0
24.03.2071	00.00.00	13.68	8.35	8.35	0.0
25.03.2071	00.00.00	1.4	6.21666666666667	6.21666666666667	0.0
26.03.2071	00.00.00	0.4	5.73888888888892	5.73888888888892	0.0
27.03.2071	00.00.00	3.33846153846158	6.21666666666667	6.21666666666667	0.0
28.03.2071	00.00.00	0.0	4.25	4.25	0.0
29.03.2071	00.00.00	0.0	2.65	2.65	0.0
30.03.2071	00.00.00	0.0	1.85	1.85	0.0
31.03.2071	00.00.00	0.0	2.25	2.25	0.0
01.04.2071	00.00.00	0.0	3.55	3.55	0.0
02.04.2071	00.00.00	0.0	3.35	3.35	0.0
03.04.2071	00.00.00	0.0	2.43000000000002	2.43000000000002	0.0
04.04.2071	00.00.00	17.6944444444444	2.32500000000002	2.32500000000002	0.0
05.04.2071	00.00.00	0.5	2.55	2.55	0.0
06.04.2071	00.00.00	19.8764705882353	2.65	2.65	0.0
07.04.2071	00.00.00	4.66666666666667	3.35	3.35	0.0
08.04.2071	00.00.00	5.82	3.25	3.25	0.0
09.04.2071	00.00.00	0.0	3.15	3.15	0.0
10.04.2071	00.00.00	11.4111111111111	2.75	2.75	0.0
11.04.2071	00.00.00	14.1805194805195	5.82777777777785	5.82777777777785	0.0
12.04.2071	00.00.00	9.3	4.35	4.35	0.0
13.04.2071	00.00.00	7.4	10.25	10.25	0.0
14.04.2071	00.00.00	1.25	10.05	10.05	0.0
15.04.2071	00.00.00	5.74	10.9583333333334	10.9583333333334	0.0
16.04.2071	00.00.00	0.0	5.45	5.45	0.0
17.04.2071	00.00.00	0.0	4.25	4.25	0.0
18.04.2071	00.00.00	0.0	4.15	4.15	0.0
19.04.2071	00.00.00	14.5545454545454	5.51666666666667	5.51666666666667	0.0
20.04.2071	00.00.00	0.25	7.35	7.35	0.0
21.04.2071	00.00.00	0.0	7.67500000000003	7.67500000000003	0.0
22.04.2071	00.00.00	0.0	6.45	6.45	0.0
23.04.2071	00.00.00	26.4692307692308	10.75	10.75	0.0
24.04.2071	00.00.00	19.8764705882353	13.1166666666667	13.1166666666667	0.0
25.04.2071	00.00.00	1.25	13.4	13.4	0.0
26.04.2071	00.00.00	0.0	11.1041666666667	11.1041666666667	0.0
27.04.2071	00.00.00	0.0	8.55	8.55	0.0
28.04.2071	00.00.00	5.58	9.68333333333333	9.68333333333333	0.0
29.04.2071	00.00.00	0.1	10.65	10.65	0.0
30.04.2071	00.00.00	0.0	12.75	12.75	0.0
01.05.2071	00.00.00	0.0	12.95	12.95	0.0
02.05.2071	00.00.00	0.0	13.55	13.55	0.0
03.05.2071	00.00.00	0.0	14.5841463414635	14.5841463414635	0.0
04.05.2071	00.00.00	0.0	13.75	13.75	0.0
05.05.2071	00.00.00	0.4	13.25	13.25	0.0
06.05.2071	00.00.00	0.6	13.55	13.55	0.0
07.05.2071	00.00.00	2.2	16.745	16.745	0.0
