Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_Myglevatn
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.2041	00.00.00	13.4111111111111	3.05	3.05	0.0
02.01.2041	00.00.00	24.9727272727273	2.95	2.95	0.0
03.01.2041	00.00.00	10.4	2.75	2.75	0.0
04.01.2041	00.00.00	53.763740079365	2.85	2.85	0.0
05.01.2041	00.00.00	8.5	3.05	3.05	0.0
06.01.2041	00.00.00	0.4	2.45	2.45	0.0
07.01.2041	00.00.00	0.0	1.35	1.35	0.0
08.01.2041	00.00.00	0.0	-1.38333333333333	-1.38333333333333	0.0
09.01.2041	00.00.00	0.166666666666606	-2.15	-2.15	0.0
10.01.2041	00.00.00	3.8	0.45	0.45	0.0
11.01.2041	00.00.00	22.1285714285714	2.65	2.65	0.0
12.01.2041	00.00.00	0.0	0.25	0.25	0.0
13.01.2041	00.00.00	32.7	2.35	2.35	0.0
14.01.2041	00.00.00	10.3	1.75	1.75	0.0
15.01.2041	00.00.00	0.0	-0.25	-0.25	0.0
16.01.2041	00.00.00	1.2	-1.38333333333333	-1.38333333333333	0.0
17.01.2041	00.00.00	0.0666666666666667	-1.25	-1.25	0.0
18.01.2041	00.00.00	0.0	-1.1	-1.1	0.0
19.01.2041	00.00.00	0.0	-3.45	-3.45	0.0
20.01.2041	00.00.00	0.0	-4.05	-4.05	0.0
21.01.2041	00.00.00	0.0	-3.75	-3.75	0.0
22.01.2041	00.00.00	0.0	-4.35	-4.35	0.0
23.01.2041	00.00.00	0.0	-5.3	-5.3	0.0
24.01.2041	00.00.00	4.9	-1.45	-1.45	0.0
25.01.2041	00.00.00	12.2	0.65	0.65	0.0
26.01.2041	00.00.00	22.6047619047619	3.25	3.25	0.0
27.01.2041	00.00.00	0.0	1.6	1.6	0.0
28.01.2041	00.00.00	0.0	-4.45	-4.45	0.0
29.01.2041	00.00.00	0.0	-5.88333333333333	-5.88333333333333	0.0
30.01.2041	00.00.00	0.0	-8.15625	-8.15625	0.0
31.01.2041	00.00.00	0.0666666666666667	-7.41	-7.41	0.0
01.02.2041	00.00.00	11.0	-0.95	-0.95	0.0
02.02.2041	00.00.00	2.5	1.65	1.65	0.0
03.02.2041	00.00.00	51.5407572751322	2.55	2.55	0.0
04.02.2041	00.00.00	22.9272727272727	2.75	2.75	0.0
05.02.2041	00.00.00	0.166666666666606	1.25	1.25	0.0
06.02.2041	00.00.00	4.7	2.25	2.25	0.0
07.02.2041	00.00.00	57.4402116402116	3.35	3.35	0.0
08.02.2041	00.00.00	7.9	2.85	2.85	0.0
09.02.2041	00.00.00	17.1692307692308	2.3	2.3	0.0
10.02.2041	00.00.00	17.1692307692308	3.65	3.65	0.0
11.02.2041	00.00.00	0.166666666666606	2.65	2.65	0.0
12.02.2041	00.00.00	0.0666666666666667	-0.183333333333333	-0.183333333333333	0.0
13.02.2041	00.00.00	0.7	0.65	0.65	0.0
14.02.2041	00.00.00	2.0	-0.45	-0.45	0.0
15.02.2041	00.00.00	0.0	-3.05	-3.05	0.0
16.02.2041	00.00.00	0.0	-2.55	-2.55	0.0
17.02.2041	00.00.00	0.0	0.85	0.85	0.0
18.02.2041	00.00.00	0.0	0.65	0.65	0.0
19.02.2041	00.00.00	0.0	-1.85	-1.85	0.0
20.02.2041	00.00.00	0.0	-4.05	-4.05	0.0
21.02.2041	00.00.00	0.0	-5.88333333333333	-5.88333333333333	0.0
22.02.2041	00.00.00	0.0	-6.11666666666667	-6.11666666666667	0.0
23.02.2041	00.00.00	0.5	1.15	1.15	0.0
24.02.2041	00.00.00	0.0666666666666667	2.35	2.35	0.0
25.02.2041	00.00.00	0.5	2.65	2.65	0.0
26.02.2041	00.00.00	4.0	2.75	2.75	0.0
27.02.2041	00.00.00	7.2	2.35	2.35	0.0
28.02.2041	00.00.00	11.0	3.65	3.65	0.0
01.03.2041	00.00.00	8.3	4.55	4.55	0.0
02.03.2041	00.00.00	12.5	5.25	5.25	0.0
03.03.2041	00.00.00	0.7	3.55	3.55	0.0
04.03.2041	00.00.00	6.43999999999995	2.95	2.95	0.0
05.03.2041	00.00.00	42.905324074074	4.35	4.35	0.0
06.03.2041	00.00.00	3.35	3.05	3.05	0.0
07.03.2041	00.00.00	0.9	3.15	3.15	0.0
08.03.2041	00.00.00	0.0	1.75	1.75	0.0
09.03.2041	00.00.00	1.2	1.75	1.75	0.0
