Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_Myglevatn
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.2071	00.00.00	18.45	4.55	4.55	0.0
02.01.2071	00.00.00	9.5	5.65	5.65	0.0
03.01.2071	00.00.00	0.0	1.95	1.95	0.0
04.01.2071	00.00.00	0.0	1.15	1.15	0.0
05.01.2071	00.00.00	0.0	0.35	0.35	0.0
06.01.2071	00.00.00	0.0	-1.55	-1.55	0.0
07.01.2071	00.00.00	4.6	0.15	0.15	0.0
08.01.2071	00.00.00	3.2	0.4	0.4	0.0
09.01.2071	00.00.00	8.8	4.25	4.25	0.0
10.01.2071	00.00.00	3.8	1.85	1.85	0.0
11.01.2071	00.00.00	1.3	5.65	5.65	0.0
12.01.2071	00.00.00	6.55	6.47258064516131	6.47258064516131	0.0
13.01.2071	00.00.00	4.025	1.55	1.55	0.0
14.01.2071	00.00.00	4.175	3.35	3.35	0.0
15.01.2071	00.00.00	0.3	-0.21551724137929	-0.21551724137929	0.0
16.01.2071	00.00.00	4.6	-0.132758620689645	-0.132758620689645	0.0
17.01.2071	00.00.00	2.2	0.45	0.45	0.0
18.01.2071	00.00.00	0.4	2.35	2.35	0.0
19.01.2071	00.00.00	16.3076923076923	7.15	7.15	0.0
20.01.2071	00.00.00	22.95	8.41666666666667	8.41666666666667	0.0
21.01.2071	00.00.00	2.975	7.0	7.0	0.0
22.01.2071	00.00.00	0.0	7.28333333333333	7.28333333333333	0.0
23.01.2071	00.00.00	6.55	7.52142857142866	7.52142857142866	0.0
24.01.2071	00.00.00	0.0	2.65	2.65	0.0
25.01.2071	00.00.00	0.0	3.25	3.25	0.0
26.01.2071	00.00.00	0.0	6.85	6.85	0.0
27.01.2071	00.00.00	0.0	6.47258064516131	6.47258064516131	0.0
28.01.2071	00.00.00	0.0	2.3	2.3	0.0
29.01.2071	00.00.00	0.0	2.65	2.65	0.0
30.01.2071	00.00.00	8.4	4.15	4.15	0.0
31.01.2071	00.00.00	1.5	3.45	3.45	0.0
01.02.2071	00.00.00	0.0	0.25	0.25	0.0
02.02.2071	00.00.00	0.0	-2.45	-2.45	0.0
03.02.2071	00.00.00	4.5	-0.85	-0.85	0.0
04.02.2071	00.00.00	0.1	0.9	0.9	0.0
05.02.2071	00.00.00	0.0	1.35	1.35	0.0
06.02.2071	00.00.00	0.0	0.65	0.65	0.0
07.02.2071	00.00.00	0.0	-3.375	-3.375	0.0
08.02.2071	00.00.00	0.0	-1.85	-1.85	0.0
09.02.2071	00.00.00	0.0	0.05	0.05	0.0
10.02.2071	00.00.00	0.4	4.48333333333333	4.48333333333333	0.0
11.02.2071	00.00.00	7.98333333333333	2.35	2.35	0.0
12.02.2071	00.00.00	0.4	1.15	1.15	0.0
13.02.2071	00.00.00	3.125	-1.15	-1.15	0.0
14.02.2071	00.00.00	0.3	-3.3	-3.3	0.0
15.02.2071	00.00.00	0.0	-4.15	-4.15	0.0
16.02.2071	00.00.00	0.0	-4.35	-4.35	0.0
17.02.2071	00.00.00	0.4	-2.91	-2.91	0.0
18.02.2071	00.00.00	11.3625	0.65	0.65	0.0
19.02.2071	00.00.00	0.0	-0.55	-0.55	0.0
20.02.2071	00.00.00	0.0	-0.65	-0.65	0.0
21.02.2071	00.00.00	0.0	-1.65	-1.65	0.0
22.02.2071	00.00.00	0.0	-3.61666666666667	-3.61666666666667	0.0
23.02.2071	00.00.00	0.0	-2.25	-2.25	0.0
24.02.2071	00.00.00	0.0	-1.65	-1.65	0.0
25.02.2071	00.00.00	0.0	0.35	0.35	0.0
26.02.2071	00.00.00	0.0	2.75	2.75	0.0
27.02.2071	00.00.00	0.0	1.85	1.85	0.0
28.02.2071	00.00.00	0.0	0.25	0.25	0.0
