Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_Myglevatn
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.2041	00.00.00	22.4894736842105	5.65	5.65	0.0
02.01.2041	00.00.00	0.0	2.15	2.15	0.0
03.01.2041	00.00.00	0.0	-0.65	-0.65	0.0
04.01.2041	00.00.00	0.0	-4.53333333333333	-4.53333333333333	0.0
05.01.2041	00.00.00	0.0	-7.23	-7.23	0.0
06.01.2041	00.00.00	0.0	-7.77	-7.77	0.0
07.01.2041	00.00.00	0.0	-7.95	-7.95	0.0
08.01.2041	00.00.00	0.0	-6.89444444444444	-6.89444444444444	0.0
09.01.2041	00.00.00	0.0	-0.55	-0.55	0.0
10.01.2041	00.00.00	0.0	-2.375	-2.375	0.0
11.01.2041	00.00.00	0.0	-3.575	-3.575	0.0
12.01.2041	00.00.00	0.0	-2.15	-2.15	0.0
13.01.2041	00.00.00	0.0	-3.225	-3.225	0.0
14.01.2041	00.00.00	12.9833333333333	-2.225	-2.225	0.0
15.01.2041	00.00.00	1.0	-2.01666666666667	-2.01666666666667	0.0
16.01.2041	00.00.00	0.95	-3.575	-3.575	0.0
17.01.2041	00.00.00	0.116666666666606	-6.58333333333333	-6.58333333333333	0.0
18.01.2041	00.00.00	0.0	-8.13333333333333	-8.13333333333333	0.0
19.01.2041	00.00.00	0.0	-4.15	-4.15	0.0
20.01.2041	00.00.00	7.98333333333333	0.15	0.15	0.0
21.01.2041	00.00.00	0.0	-2.6	-2.6	0.0
22.01.2041	00.00.00	0.0	-6.50555555555556	-6.50555555555556	0.0
23.01.2041	00.00.00	0.0	-5.76666666666667	-5.76666666666667	0.0
24.01.2041	00.00.00	0.0	-6.23333333333333	-6.23333333333333	0.0
25.01.2041	00.00.00	0.0	-8.40833333333333	-8.40833333333333	0.0
26.01.2041	00.00.00	0.0	-8.31666666666667	-8.31666666666667	0.0
27.01.2041	00.00.00	0.0	-4.35	-4.35	0.0
28.01.2041	00.00.00	0.0	-3.01666666666667	-3.01666666666667	0.0
29.01.2041	00.00.00	0.0	-5.41666666666667	-5.41666666666667	0.0
30.01.2041	00.00.00	0.0	-10.5801587301587	-10.5801587301587	0.0
31.01.2041	00.00.00	0.4	-10.5801587301587	-10.5801587301587	0.0
01.02.2041	00.00.00	0.0	-5.76666666666667	-5.76666666666667	0.0
02.02.2041	00.00.00	0.0	-10.1019841269841	-10.1019841269841	0.0
03.02.2041	00.00.00	2.9	-7.59	-7.59	0.0
04.02.2041	00.00.00	17.8266666666667	-2.225	-2.225	0.0
