Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_Myglevatn
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.0	-9.23188679245283	-9.23188679245283	0.0
02.01.1971	00.00.00	0.0	-14.5828767123288	-14.5828767123288	0.0
03.01.1971	00.00.00	0.0	-15.6594645080946	-15.6594645080946	0.0
04.01.1971	00.00.00	0.8	-2.15	-2.15	0.0
05.01.1971	00.00.00	0.0	4.55	4.55	0.0
06.01.1971	00.00.00	0.0	1.35	1.35	0.0
07.01.1971	00.00.00	0.0	-0.45	-0.45	0.0
08.01.1971	00.00.00	1.8	3.55	3.55	0.0
09.01.1971	00.00.00	2.6	4.45	4.45	0.0
10.01.1971	00.00.00	20.5	1.91666666666667	1.91666666666667	0.0
11.01.1971	00.00.00	0.0	-7.70454545454545	-7.70454545454545	0.0
12.01.1971	00.00.00	2.6	-6.23333333333333	-6.23333333333333	0.0
13.01.1971	00.00.00	0.0	-1.45	-1.45	0.0
14.01.1971	00.00.00	4.93333333333333	0.45	0.45	0.0
15.01.1971	00.00.00	0.3	-0.372580645161281	-0.372580645161281	0.0
16.01.1971	00.00.00	0.166666666666606	-3.3	-3.3	0.0
17.01.1971	00.00.00	5.58	-3.3	-3.3	0.0
18.01.1971	00.00.00	1.0	2.95	2.95	0.0
19.01.1971	00.00.00	10.075	0.45	0.45	0.0
20.01.1971	00.00.00	3.2	-0.295161290322562	-0.295161290322562	0.0
21.01.1971	00.00.00	10.0	1.55	1.55	0.0
22.01.1971	00.00.00	0.1	-0.05	-0.05	0.0
23.01.1971	00.00.00	0.0	-9.05	-9.05	0.0
24.01.1971	00.00.00	0.0	-20.8886052303861	-20.8886052303861	0.0
25.01.1971	00.00.00	2.75	-8.96538461538462	-8.96538461538462	0.0
26.01.1971	00.00.00	34.6627202643172	-3.3	-3.3	0.0
27.01.1971	00.00.00	9.5	-1.95	-1.95	0.0
28.01.1971	00.00.00	4.8	-3.3	-3.3	0.0
29.01.1971	00.00.00	0.0	-7.78636363636364	-7.78636363636364	0.0
30.01.1971	00.00.00	0.1	-10.9598113207547	-10.9598113207547	0.0
31.01.1971	00.00.00	0.0	-14.2752801992528	-14.2752801992528	0.0
01.02.1971	00.00.00	0.0	-6.85	-6.85	0.0
02.02.1971	00.00.00	26.3160349854229	0.55	0.55	0.0
03.02.1971	00.00.00	0.0	0.4	0.4	0.0
04.02.1971	00.00.00	1.0	0.45	0.45	0.0
05.02.1971	00.00.00	0.0	-2.35	-2.35	0.0
06.02.1971	00.00.00	0.0	-7.62272727272727	-7.62272727272727	0.0
