Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_Myglevatn
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.2041	00.00.00	11.6444444444444	3.15	3.15	0.0
02.01.2041	00.00.00	3.74000000000012	1.6	1.6	0.0
03.01.2041	00.00.00	0.0	-0.65	-0.65	0.0
04.01.2041	00.00.00	31.1307032590052	6.55	6.55	0.0
05.01.2041	00.00.00	0.1	1.05	1.05	0.0
06.01.2041	00.00.00	0.0	1.15	1.15	0.0
07.01.2041	00.00.00	52.414730961482	5.15	5.15	0.0
08.01.2041	00.00.00	0.3	1.91666666666667	1.91666666666667	0.0
09.01.2041	00.00.00	15.6076923076923	3.15	3.15	0.0
10.01.2041	00.00.00	42.9120111731844	5.31666666666667	5.31666666666667	0.0
11.01.2041	00.00.00	0.6	1.98333333333333	1.98333333333333	0.0
12.01.2041	00.00.00	1.6	1.55	1.55	0.0
13.01.2041	00.00.00	0.4	-0.132758620689645	-0.132758620689645	0.0
14.01.2041	00.00.00	30.928987993139	3.75	3.75	0.0
15.01.2041	00.00.00	18.45	3.15	3.15	0.0
16.01.2041	00.00.00	1.6	2.61666666666667	2.61666666666667	0.0
17.01.2041	00.00.00	11.2555555555556	2.61666666666667	2.61666666666667	0.0
18.01.2041	00.00.00	20.5923076923077	0.15	0.15	0.0
19.01.2041	00.00.00	27.7014577259476	1.55	1.55	0.0
20.01.2041	00.00.00	0.0	0.05	0.05	0.0
21.01.2041	00.00.00	4.1	0.55	0.55	0.0
22.01.2041	00.00.00	21.9941176470588	1.91666666666667	1.91666666666667	0.0
23.01.2041	00.00.00	5.82	1.6	1.6	0.0
24.01.2041	00.00.00	9.1	1.05	1.05	0.0
25.01.2041	00.00.00	8.6	4.95	4.95	0.0
26.01.2041	00.00.00	2.45	6.28333333333333	6.28333333333333	0.0
27.01.2041	00.00.00	7.6	3.95	3.95	0.0
28.01.2041	00.00.00	0.0	-1.15	-1.15	0.0
29.01.2041	00.00.00	0.0	-2.75	-2.75	0.0
30.01.2041	00.00.00	0.0	-1.95	-1.95	0.0
31.01.2041	00.00.00	0.0	-1.38333333333333	-1.38333333333333	0.0
01.02.2041	00.00.00	0.0	-2.15	-2.15	0.0
02.02.2041	00.00.00	0.0	-2.6	-2.6	0.0
03.02.2041	00.00.00	0.0	-0.516666666666667	-0.516666666666667	0.0
04.02.2041	00.00.00	0.0	0.4	0.4	0.0
05.02.2041	00.00.00	0.0	-0.65	-0.65	0.0
06.02.2041	00.00.00	0.0	-0.132758620689645	-0.132758620689645	0.0
07.02.2041	00.00.00	1.25	0.15	0.15	0.0
08.02.2041	00.00.00	0.0	2.05	2.05	0.0
09.02.2041	00.00.00	48.6136430461629	2.05	2.05	0.0
10.02.2041	00.00.00	9.1	3.95	3.95	0.0
11.02.2041	00.00.00	0.0	1.98333333333333	1.98333333333333	0.0
12.02.2041	00.00.00	0.1	3.25	3.25	0.0
13.02.2041	00.00.00	0.1	3.45	3.45	0.0
14.02.2041	00.00.00	0.4	1.6	1.6	0.0
15.02.2041	00.00.00	10.225	0.95	0.95	0.0
16.02.2041	00.00.00	21.2882352941177	2.05	2.05	0.0
17.02.2041	00.00.00	19.9461538461539	2.55	2.55	0.0
18.02.2041	00.00.00	26.7778425655978	3.45	3.45	0.0
19.02.2041	00.00.00	0.0	0.65	0.65	0.0
20.02.2041	00.00.00	24.5214285714287	0.95	0.95	0.0
21.02.2041	00.00.00	0.0	1.45	1.45	0.0
22.02.2041	00.00.00	35.2117290748899	1.6	1.6	0.0
23.02.2041	00.00.00	5.425	0.95	0.95	0.0
24.02.2041	00.00.00	8.11428571428572	4.28333333333333	4.28333333333333	0.0
25.02.2041	00.00.00	0.0	1.15	1.15	0.0
26.02.2041	00.00.00	12.3	1.15	1.15	0.0
27.02.2041	00.00.00	2.16666666666667	-0.295161290322562	-0.295161290322562	0.0
28.02.2041	00.00.00	0.0	-0.132758620689645	-0.132758620689645	0.0
01.03.2041	00.00.00	0.0	-0.21551724137929	-0.21551724137929	0.0
02.03.2041	00.00.00	0.6	2.95	2.95	0.0
03.03.2041	00.00.00	1.0	0.95	0.95	0.0
04.03.2041	00.00.00	0.0	-3.3	-3.3	0.0
05.03.2041	00.00.00	31.7358490566038	2.25	2.25	0.0
06.03.2041	00.00.00	37.9567731277534	2.35	2.35	0.0
07.03.2041	00.00.00	51.0463393119671	3.75	3.75	0.0
08.03.2041	00.00.00	19.9461538461539	3.45	3.45	0.0
09.03.2041	00.00.00	9.5	2.25	2.25	0.0
10.03.2041	00.00.00	4.1	0.9	0.9	0.0
11.03.2041	00.00.00	9.1	2.25	2.25	0.0
12.03.2041	00.00.00	6.4	2.05	2.05	0.0
13.03.2041	00.00.00	11.7222222222222	2.95	2.95	0.0
14.03.2041	00.00.00	6.88333333333333	2.75	2.75	0.0
15.03.2041	00.00.00	0.0	2.61666666666667	2.61666666666667	0.0
16.03.2041	00.00.00	0.1	0.95	0.95	0.0
17.03.2041	00.00.00	0.0	0.15	0.15	0.0
18.03.2041	00.00.00	8.8	1.85	1.85	0.0
19.03.2041	00.00.00	7.6	2.55	2.55	0.0
20.03.2041	00.00.00	3.3	1.65	1.65	0.0
21.03.2041	00.00.00	4.175	0.35	0.35	0.0
22.03.2041	00.00.00	0.0	-0.295161290322562	-0.295161290322562	0.0
23.03.2041	00.00.00	1.25	1.85	1.85	0.0
24.03.2041	00.00.00	1.8	1.91666666666667	1.91666666666667	0.0
25.03.2041	00.00.00	4.8	1.45	1.45	0.0
26.03.2041	00.00.00	7.9	0.95	0.95	0.0
27.03.2041	00.00.00	2.23333333333333	-0.05	-0.05	0.0
28.03.2041	00.00.00	0.3	-3.45	-3.45	0.0
29.03.2041	00.00.00	0.0	-6.0	-6.0	0.0
30.03.2041	00.00.00	0.0	-2.85	-2.85	0.0
31.03.2041	00.00.00	0.1	0.05	0.05	0.0
01.04.2041	00.00.00	0.0	1.6	1.6	0.0
02.04.2041	00.00.00	0.0	1.85	1.85	0.0
03.04.2041	00.00.00	0.1	2.35	2.35	0.0
04.04.2041	00.00.00	1.0	2.68333333333333	2.68333333333333	0.0
05.04.2041	00.00.00	0.166666666666606	3.25	3.25	0.0
06.04.2041	00.00.00	1.25	2.35	2.35	0.0
07.04.2041	00.00.00	0.0	0.95	0.95	0.0
08.04.2041	00.00.00	0.0	1.91666666666667	1.91666666666667	0.0
