Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_Myglevatn
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.1971	00.00.00	0.2	-2.65	-2.65	0.0
02.01.1971	00.00.00	20.6263157894737	-0.15	-0.15	0.0
03.01.1971	00.00.00	29.9075593952484	2.55	2.55	0.0
04.01.1971	00.00.00	0.0	1.05	1.05	0.0
05.01.1971	00.00.00	5.1	1.65	1.65	0.0
06.01.1971	00.00.00	0.5	-0.45	-0.45	0.0
07.01.1971	00.00.00	15.3538461538462	2.55	2.55	0.0
08.01.1971	00.00.00	8.4	1.45	1.45	0.0
09.01.1971	00.00.00	0.1	-0.15	-0.15	0.0
10.01.1971	00.00.00	0.0	-1.35	-1.35	0.0
11.01.1971	00.00.00	2.5	-0.45	-0.45	0.0
12.01.1971	00.00.00	15.1846153846154	1.65	1.65	0.0
13.01.1971	00.00.00	0.0	0.4	0.4	0.0
14.01.1971	00.00.00	18.6625	-1.35	-1.35	0.0
15.01.1971	00.00.00	5.2	-2.01666666666667	-2.01666666666667	0.0
16.01.1971	00.00.00	0.0	-6.875	-6.875	0.0
17.01.1971	00.00.00	0.0	-3.375	-3.375	0.0
18.01.1971	00.00.00	0.5	-2.01666666666667	-2.01666666666667	0.0
19.01.1971	00.00.00	0.8	-2.85	-2.85	0.0
20.01.1971	00.00.00	5.3	-2.65	-2.65	0.0
21.01.1971	00.00.00	0.8	-4.55	-4.55	0.0
22.01.1971	00.00.00	0.0	-9.39927536231884	-9.39927536231884	0.0
23.01.1971	00.00.00	0.2	-11.0583333333333	-11.0583333333333	0.0
24.01.1971	00.00.00	1.96666666666667	-6.23333333333333	-6.23333333333333	0.0
25.01.1971	00.00.00	17.0166666666667	-1.65	-1.65	0.0
26.01.1971	00.00.00	22.0684210526316	-0.45	-0.45	0.0
27.01.1971	00.00.00	15.6076923076923	-0.35	-0.35	0.0
28.01.1971	00.00.00	3.95	0.45	0.45	0.0
29.01.1971	00.00.00	2.9	-1.65	-1.65	0.0
30.01.1971	00.00.00	0.9	-3.15	-3.15	0.0
31.01.1971	00.00.00	8.06666666666667	-0.95	-0.95	0.0
01.02.1971	00.00.00	0.1	-0.15	-0.15	0.0
02.02.1971	00.00.00	0.0	-1.45	-1.45	0.0
03.02.1971	00.00.00	11.9755725190841	-4.25	-4.25	0.0
04.02.1971	00.00.00	25.2	2.15	2.15	0.0
