Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_Myglevatn
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.2071	00.00.00	0.0	-0.25	-0.25	0.0
02.01.2071	00.00.00	0.3	-2.55	-2.55	0.0
03.01.2071	00.00.00	2.5	1.55	1.55	0.0
04.01.2071	00.00.00	2.23333333333333	0.75	0.75	0.0
05.01.2071	00.00.00	0.0	-2.05	-2.05	0.0
06.01.2071	00.00.00	0.0	-2.65	-2.65	0.0
07.01.2071	00.00.00	0.0	-3.375	-3.375	0.0
08.01.2071	00.00.00	24.5181818181818	0.35	0.35	0.0
09.01.2071	00.00.00	27.29	3.25	3.25	0.0
10.01.2071	00.00.00	24.5181818181818	2.75	2.75	0.0
11.01.2071	00.00.00	9.4	4.25	4.25	0.0
12.01.2071	00.00.00	0.3	3.75	3.75	0.0
13.01.2071	00.00.00	0.2	1.85	1.85	0.0
14.01.2071	00.00.00	0.2	3.55	3.55	0.0
15.01.2071	00.00.00	4.3	3.15	3.15	0.0
16.01.2071	00.00.00	19.3355329949238	6.28333333333333	6.28333333333333	0.0
17.01.2071	00.00.00	38.0032657657657	6.28333333333333	6.28333333333333	0.0
18.01.2071	00.00.00	5.35	4.55	4.55	0.0
19.01.2071	00.00.00	0.7	2.15	2.15	0.0
20.01.2071	00.00.00	53.250744047619	3.65	3.65	0.0
21.01.2071	00.00.00	0.0	2.05	2.05	0.0
22.01.2071	00.00.00	0.0	-0.05	-0.05	0.0
23.01.2071	00.00.00	0.0	-0.55	-0.55	0.0
24.01.2071	00.00.00	7.78	0.05	0.05	0.0
25.01.2071	00.00.00	0.1	-3.85	-3.85	0.0
26.01.2071	00.00.00	11.3	1.85	1.85	0.0
27.01.2071	00.00.00	34.6350225225225	1.55	1.55	0.0
28.01.2071	00.00.00	17.7165714285714	1.25	1.25	0.0
29.01.2071	00.00.00	0.0	-0.116666666666667	-0.116666666666667	0.0
30.01.2071	00.00.00	0.1	-1.38333333333333	-1.38333333333333	0.0
31.01.2071	00.00.00	0.2	-0.183333333333333	-0.183333333333333	0.0
01.02.2071	00.00.00	24.5181818181818	2.25	2.25	0.0
02.02.2071	00.00.00	0.7	-0.183333333333333	-0.183333333333333	0.0
03.02.2071	00.00.00	0.0	-4.7	-4.7	0.0
04.02.2071	00.00.00	14.2272727272727	-0.25	-0.25	0.0
05.02.2071	00.00.00	22.4142857142857	1.85	1.85	0.0
06.02.2071	00.00.00	10.2142857142857	2.25	2.25	0.0
07.02.2071	00.00.00	0.0	1.75	1.75	0.0
08.02.2071	00.00.00	0.0	-1.85	-1.85	0.0
09.02.2071	00.00.00	0.0	-3.225	-3.225	0.0
10.02.2071	00.00.00	1.5	0.95	0.95	0.0
11.02.2071	00.00.00	0.0	1.6	1.6	0.0
12.02.2071	00.00.00	0.0	0.45	0.45	0.0
13.02.2071	00.00.00	7.2	1.85	1.85	0.0
14.02.2071	00.00.00	0.6	2.55	2.55	0.0
15.02.2071	00.00.00	9.1	2.95	2.95	0.0
16.02.2071	00.00.00	0.166666666666606	1.65	1.65	0.0
17.02.2071	00.00.00	0.0	-1.25	-1.25	0.0
18.02.2071	00.00.00	0.0	-0.116666666666667	-0.116666666666667	0.0
19.02.2071	00.00.00	0.0	-3.55	-3.55	0.0
20.02.2071	00.00.00	0.0	-3.95	-3.95	0.0
21.02.2071	00.00.00	0.0	-3.15	-3.15	0.0
22.02.2071	00.00.00	0.8	-2.65	-2.65	0.0
23.02.2071	00.00.00	15.2833333333333	2.75	2.75	0.0
24.02.2071	00.00.00	5.425	0.85	0.85	0.0
25.02.2071	00.00.00	1.1	0.55	0.55	0.0
26.02.2071	00.00.00	19.2319999999999	3.75	3.75	0.0
27.02.2071	00.00.00	8.3	3.15	3.15	0.0
28.02.2071	00.00.00	1.2	2.55	2.55	0.0
01.03.2071	00.00.00	5.1	5.25	5.25	0.0
02.03.2071	00.00.00	14.5545454545455	5.05	5.05	0.0
03.03.2071	00.00.00	3.6	3.25	3.25	0.0
04.03.2071	00.00.00	11.5	3.25	3.25	0.0
05.03.2071	00.00.00	15.8333333333333	3.55	3.55	0.0
06.03.2071	00.00.00	0.0	3.05	3.05	0.0
07.03.2071	00.00.00	0.0	0.55	0.55	0.0
08.03.2071	00.00.00	0.0666666666666667	3.15	3.15	0.0
09.03.2071	00.00.00	0.0	5.55	5.55	0.0
10.03.2071	00.00.00	0.0	3.95	3.95	0.0
11.03.2071	00.00.00	0.75	4.55	4.55	0.0
12.03.2071	00.00.00	0.0	5.45	5.45	0.0
13.03.2071	00.00.00	0.0	4.15	4.15	0.0
14.03.2071	00.00.00	0.0	3.15	3.15	0.0
15.03.2071	00.00.00	2.1	3.05	3.05	0.0
16.03.2071	00.00.00	0.1	3.15	3.15	0.0
17.03.2071	00.00.00	8.8	3.55	3.55	0.0
18.03.2071	00.00.00	1.3	4.15	4.15	0.0
19.03.2071	00.00.00	0.0	5.55	5.55	0.0
20.03.2071	00.00.00	0.1	4.15	4.15	0.0
21.03.2071	00.00.00	0.0	3.95	3.95	0.0
22.03.2071	00.00.00	0.0	3.05	3.05	0.0
23.03.2071	00.00.00	0.0	2.05	2.05	0.0
24.03.2071	00.00.00	1.0	4.55	4.55	0.0
25.03.2071	00.00.00	0.0	4.55	4.55	0.0
26.03.2071	00.00.00	0.75	3.25	3.25	0.0
27.03.2071	00.00.00	0.0666666666666667	3.15	3.15	0.0
28.03.2071	00.00.00	0.0	1.05	1.05	0.0
29.03.2071	00.00.00	0.0	0.35	0.35	0.0
30.03.2071	00.00.00	10.1285714285714	1.55	1.55	0.0
31.03.2071	00.00.00	16.1083333333333	3.25	3.25	0.0
01.04.2071	00.00.00	3.8	3.95	3.95	0.0
02.04.2071	00.00.00	9.7	4.55	4.55	0.0
03.04.2071	00.00.00	3.2	2.95	2.95	0.0
04.04.2071	00.00.00	4.3	5.65	5.65	0.0
05.04.2071	00.00.00	5.8	5.65	5.65	0.0
06.04.2071	00.00.00	0.0	3.15	3.15	0.0
07.04.2071	00.00.00	0.0	2.65	2.65	0.0
08.04.2071	00.00.00	8.7	2.95	2.95	0.0
09.04.2071	00.00.00	0.3	3.25	3.25	0.0
10.04.2071	00.00.00	12.8	6.35	6.35	0.0
11.04.2071	00.00.00	20.5294416243655	6.15	6.15	0.0
12.04.2071	00.00.00	2.1	6.21666666666667	6.21666666666667	0.0
13.04.2071	00.00.00	19.2319999999999	6.85	6.85	0.0
14.04.2071	00.00.00	10.2142857142857	6.35	6.35	0.0
15.04.2071	00.00.00	0.75	4.35	4.35	0.0
16.04.2071	00.00.00	0.0	2.95	2.95	0.0
17.04.2071	00.00.00	0.166666666666606	3.25	3.25	0.0
18.04.2071	00.00.00	4.1	3.25	3.25	0.0
19.04.2071	00.00.00	0.0	3.95	3.95	0.0
20.04.2071	00.00.00	0.0	3.05	3.05	0.0
21.04.2071	00.00.00	12.8	3.25	3.25	0.0
22.04.2071	00.00.00	27.51	7.15	7.15	0.0
23.04.2071	00.00.00	0.0	5.65	5.65	0.0
24.04.2071	00.00.00	0.0	5.78333333333333	5.78333333333333	0.0
25.04.2071	00.00.00	0.0	9.85	9.85	0.0
26.04.2071	00.00.00	0.0	15.15	15.15	0.0
27.04.2071	00.00.00	0.0	13.9833333333333	13.9833333333333	0.0
28.04.2071	00.00.00	0.0	17.7357142857143	17.7357142857143	0.0
29.04.2071	00.00.00	0.0	19.4388888888889	19.4388888888889	0.0
30.04.2071	00.00.00	1.3	15.35	15.35	0.0
01.05.2071	00.00.00	2.3	14.975	14.975	0.0
02.05.2071	00.00.00	3.5	14.975	14.975	0.0
03.05.2071	00.00.00	0.2	15.45	15.45	0.0
04.05.2071	00.00.00	4.3	16.0875	16.0875	0.0
05.05.2071	00.00.00	4.0	16.325	16.325	0.0
06.05.2071	00.00.00	0.0	17.0642857142857	17.0642857142857	0.0
07.05.2071	00.00.00	0.0	16.9214285714286	16.9214285714286	0.0
08.05.2071	00.00.00	6.43999999999995	16.43	16.43	0.0
09.05.2071	00.00.00	0.0	16.9928571428571	16.9928571428571	0.0
10.05.2071	00.00.00	0.0666666666666667	16.85	16.85	0.0
11.05.2071	00.00.00	0.0	16.745	16.745	0.0
12.05.2071	00.00.00	0.0	16.535	16.535	0.0
13.05.2071	00.00.00	0.0	15.96875	15.96875	0.0
14.05.2071	00.00.00	2.5	16.325	16.325	0.0
15.05.2071	00.00.00	0.95	16.43	16.43	0.0
16.05.2071	00.00.00	4.0	16.9214285714286	16.9214285714286	0.0
17.05.2071	00.00.00	1.4	16.535	16.535	0.0
18.05.2071	00.00.00	0.0	16.64	16.64	0.0
19.05.2071	00.00.00	5.2	16.0875	16.0875	0.0
20.05.2071	00.00.00	0.0	15.85	15.85	0.0
21.05.2071	00.00.00	0.5	14.975	14.975	0.0
22.05.2071	00.00.00	0.1	15.25	15.25	0.0
23.05.2071	00.00.00	0.2	15.75	15.75	0.0
24.05.2071	00.00.00	4.6	15.05	15.05	0.0
25.05.2071	00.00.00	0.0	16.0875	16.0875	0.0
26.05.2071	00.00.00	0.0	16.9928571428571	16.9928571428571	0.0
