Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_Myglevatn
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.2071	00.00.00	59.6780947441216	7.25	7.25	0.0
02.01.2071	00.00.00	4.1	2.45	2.45	0.0
03.01.2071	00.00.00	20.4529411764706	0.65	0.65	0.0
04.01.2071	00.00.00	63.164764868603	5.85	5.85	0.0
05.01.2071	00.00.00	32.8452830188679	5.55	5.55	0.0
06.01.2071	00.00.00	7.42	4.55	4.55	0.0
07.01.2071	00.00.00	1.0	2.65	2.65	0.0
08.01.2071	00.00.00	12.91	3.25	3.25	0.0
09.01.2071	00.00.00	8.06666666666667	4.2088235294118	4.2088235294118	0.0
10.01.2071	00.00.00	27.0857142857143	6.0	6.0	0.0
11.01.2071	00.00.00	18.5	5.65	5.65	0.0
12.01.2071	00.00.00	3.4	6.48333333333333	6.48333333333333	0.0
13.01.2071	00.00.00	0.0	2.95	2.95	0.0
14.01.2071	00.00.00	22.8764705882353	6.85	6.85	0.0
15.01.2071	00.00.00	30.9037735849057	8.55	8.55	0.0
16.01.2071	00.00.00	26.4795918367348	5.71666666666667	5.71666666666667	0.0
17.01.2071	00.00.00	31.3660377358491	7.55	7.55	0.0
18.01.2071	00.00.00	8.06666666666667	5.65	5.65	0.0
19.01.2071	00.00.00	1.0	1.65	1.65	0.0
20.01.2071	00.00.00	16.1214285714286	1.45	1.45	0.0
21.01.2071	00.00.00	10.8	3.35	3.35	0.0
22.01.2071	00.00.00	2.3	0.75	0.75	0.0
23.01.2071	00.00.00	0.0	-0.35	-0.35	0.0
24.01.2071	00.00.00	0.0	-2.25	-2.25	0.0
25.01.2071	00.00.00	0.0	-2.45	-2.45	0.0
26.01.2071	00.00.00	0.0	0.05	0.05	0.0
27.01.2071	00.00.00	4.6	-1.38333333333333	-1.38333333333333	0.0
28.01.2071	00.00.00	5.06666666666667	4.9	4.9	0.0
29.01.2071	00.00.00	8.88	2.45	2.45	0.0
30.01.2071	00.00.00	10.0	0.65	0.65	0.0
31.01.2071	00.00.00	10.0	0.65	0.65	0.0
01.02.2071	00.00.00	10.5	3.05	3.05	0.0
02.02.2071	00.00.00	2.1	6.28333333333333	6.28333333333333	0.0
03.02.2071	00.00.00	6.38333333333333	3.45	3.45	0.0
04.02.2071	00.00.00	0.9	1.55	1.55	0.0
05.02.2071	00.00.00	2.75	3.15	3.15	0.0
06.02.2071	00.00.00	0.0	-0.05	-0.05	0.0
07.02.2071	00.00.00	0.0	-1.675	-1.675	0.0
08.02.2071	00.00.00	2.3	-3.05	-3.05	0.0
09.02.2071	00.00.00	2.6	2.45	2.45	0.0
10.02.2071	00.00.00	0.0	2.95	2.95	0.0
11.02.2071	00.00.00	0.0	1.35	1.35	0.0
12.02.2071	00.00.00	0.0	-0.95	-0.95	0.0
13.02.2071	00.00.00	0.0	-0.45	-0.45	0.0
14.02.2071	00.00.00	0.0	-1.6	-1.6	0.0
15.02.2071	00.00.00	0.0	-2.45	-2.45	0.0
16.02.2071	00.00.00	0.3	-0.95	-0.95	0.0
17.02.2071	00.00.00	0.95	-2.35	-2.35	0.0
18.02.2071	00.00.00	4.7	-1.675	-1.675	0.0
19.02.2071	00.00.00	9.7	-1.1	-1.1	0.0
20.02.2071	00.00.00	22.2	0.35	0.35	0.0
21.02.2071	00.00.00	53.2411652835407	-0.15	-0.15	0.0
22.02.2071	00.00.00	40.3041079812206	1.75	1.75	0.0
23.02.2071	00.00.00	7.3	1.15	1.15	0.0
24.02.2071	00.00.00	0.0	0.25	0.25	0.0
25.02.2071	00.00.00	0.0	-0.35	-0.35	0.0
26.02.2071	00.00.00	0.0	2.55	2.55	0.0
27.02.2071	00.00.00	0.0	0.65	0.65	0.0
28.02.2071	00.00.00	0.0	2.55	2.55	0.0
01.03.2071	00.00.00	0.0	5.15	5.15	0.0
02.03.2071	00.00.00	5.5	4.55	4.55	0.0
03.03.2071	00.00.00	0.0	0.45	0.45	0.0
04.03.2071	00.00.00	1.2	-1.6	-1.6	0.0
05.03.2071	00.00.00	0.2	-4.55	-4.55	0.0
06.03.2071	00.00.00	0.0	-5.41666666666667	-5.41666666666667	0.0
