Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_Myglevatn
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
01.01.2071	00.00.00	0.0	-2.675	-2.675	0.0
02.01.2071	00.00.00	0.166666666666606	-1.31666666666667	-1.31666666666667	0.0
03.01.2071	00.00.00	18.8466666666667	1.15	1.15	0.0
04.01.2071	00.00.00	26.7509138381201	1.15	1.15	0.0
05.01.2071	00.00.00	6.96666666666667	3.15	3.15	0.0
06.01.2071	00.00.00	0.0	2.25	2.25	0.0
07.01.2071	00.00.00	6.55	4.55	4.55	0.0
08.01.2071	00.00.00	6.425	5.45	5.45	0.0
09.01.2071	00.00.00	1.1	7.85	7.85	0.0
10.01.2071	00.00.00	4.93333333333333	6.41666666666667	6.41666666666667	0.0
11.01.2071	00.00.00	0.0	1.55	1.55	0.0
12.01.2071	00.00.00	0.0	-1.38333333333333	-1.38333333333333	0.0
13.01.2071	00.00.00	0.0	-2.15	-2.15	0.0
14.01.2071	00.00.00	8.52	-1.45	-1.45	0.0
15.01.2071	00.00.00	0.0	-1.05	-1.05	0.0
16.01.2071	00.00.00	0.1	-1.75	-1.75	0.0
17.01.2071	00.00.00	0.0	-6.525	-6.525	0.0
18.01.2071	00.00.00	0.0	-10.2773148148148	-10.2773148148148	0.0
19.01.2071	00.00.00	0.0	-7.62272727272727	-7.62272727272727	0.0
20.01.2071	00.00.00	3.0	-5.25	-5.25	0.0
21.01.2071	00.00.00	5.06666666666667	0.9	0.9	0.0
22.01.2071	00.00.00	0.55	3.85	3.85	0.0
23.01.2071	00.00.00	2.75	4.65	4.65	0.0
24.01.2071	00.00.00	6.96666666666667	2.45434782608696	2.45434782608696	0.0
25.01.2071	00.00.00	1.4	4.75	4.75	0.0
26.01.2071	00.00.00	6.675	1.6	1.6	0.0
27.01.2071	00.00.00	1.76666666666667	3.05	3.05	0.0
28.01.2071	00.00.00	3.425	3.95	3.95	0.0
29.01.2071	00.00.00	16.4625	3.85	3.85	0.0
30.01.2071	00.00.00	19.51	3.15	3.15	0.0
31.01.2071	00.00.00	13.8083333333333	4.45	4.45	0.0
01.02.2071	00.00.00	1.9	3.75	3.75	0.0
02.02.2071	00.00.00	0.0	1.45	1.45	0.0
03.02.2071	00.00.00	38.1835858585858	2.3	2.3	0.0
04.02.2071	00.00.00	11.9111111111111	3.05	3.05	0.0
05.02.2071	00.00.00	5.66	1.95	1.95	0.0
06.02.2071	00.00.00	4.1	-0.55	-0.55	0.0
07.02.2071	00.00.00	8.64	2.3	2.3	0.0
08.02.2071	00.00.00	26.8543080939948	3.75	3.75	0.0
09.02.2071	00.00.00	10.5285714285714	5.55	5.55	0.0
10.02.2071	00.00.00	3.6	3.75	3.75	0.0
11.02.2071	00.00.00	0.3	0.9	0.9	0.0
12.02.2071	00.00.00	8.3	-0.8	-0.8	0.0
13.02.2071	00.00.00	3.5	1.65	1.65	0.0
14.02.2071	00.00.00	7.3	1.85	1.85	0.0
15.02.2071	00.00.00	1.9	-0.8	-0.8	0.0
16.02.2071	00.00.00	6.425	-2.15	-2.15	0.0
17.02.2071	00.00.00	5.82	-1.75	-1.75	0.0
18.02.2071	00.00.00	0.3	-2.675	-2.675	0.0
19.02.2071	00.00.00	0.0	-3.375	-3.375	0.0
20.02.2071	00.00.00	0.0	-6.7	-6.7	0.0
21.02.2071	00.00.00	0.0	-4.78333333333333	-4.78333333333333	0.0
22.02.2071	00.00.00	0.0	0.15	0.15	0.0
23.02.2071	00.00.00	0.0	2.15	2.15	0.0
24.02.2071	00.00.00	0.0	2.35	2.35	0.0
25.02.2071	00.00.00	0.0	0.65	0.65	0.0
26.02.2071	00.00.00	0.0	1.35	1.35	0.0
